tip_label,img_path
Amphichaetodon_howensis_M967,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Amphichaetodon_howensis/Amphichaetodon_howensis_Bishop_472868867 Background Removed.png
Amphichaetodon_melbae_FMNH107370,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/oriented/Amphichaetodon_melbae/Amphichaetodon_melbae_iNaturalist_510100646.png
Chaetodon_adiergastos_CHD01,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Chaetodon_adiergastos/Chaetodon_adiergastos_FishBase_Chadi_u1.png
Chaetodon_argentatus_M1589,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Chaetodon_argentatus/Chaetodon_argentatus_FishBase_Charg_u2.png
Chaetodon_assarius_M1684,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Chaetodon_assarius/Chaetodon_assarius_FishBase_Chass_u0.png
Chaetodon_aureofasciatus_M1637,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Chaetodon_aureofasciatus/Chaetodon_aureofasciatus_FishBase_Chaur_u1.png
Chaetodon_auriga2,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Chaetodon_auriga/Chaetodon_auriga_FishBase_Chaur_u5.png
Chaetodon_auripes_CEU01,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Chaetodon_auripes/Chaetodon_auripes_FishBase_Chaur_uc.png
Chaetodon_austriacus_CAI02,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Chaetodon_austriacus/Chaetodon_austriacus_FishBase_Chaus_u1.png
Chaetodon_baronessa_CBN01,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Chaetodon_baronessa/Chaetodon_baronessa_FishBase_Chbar_u0.png
Chaetodon_bennetti_CNN01,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Chaetodon_bennetti/Chaetodon_bennetti_FishBase_Chben_u1.png
Chaetodon_blackburnii_PW4271,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Chaetodon_blackburnii/Chaetodon_blackburnii_FishBase_Chbla_u0.png
Chaetodon_burgessi_JRH80,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Chaetodon_burgessi/Chaetodon_burgessi_FishBase_Chbur_u5.png
Chaetodon_capistratus_PW3430,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Chaetodon_capistratus/Chaetodon_capistratus_FishBase_Chcap_u9.png
Chaetodon_citrinellus_FMNH119310,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Chaetodon_citrinellus/Chaetodon_citrinellus_FishBase_Chcit_u1.png
Chaetodon_collare_PW3054,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Chaetodon_collare/Chaetodon_collare_Bishop_1999007469.png
Chaetodon_declivis_CDE01,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Chaetodon_declivis/Chaetodon_declivis_FishBase_Chdec_u2.png
Chaetodon_decussatus_M1546,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/oriented/Chaetodon_decussatus/Chaetodon_decussatus_Bishop_527122207.png
Chaetodon_dialeucos_CDA01,NA
Chaetodon_ephippium_PW3016,NA
Chaetodon_falcula_CHL01,NA
Chaetodon_fasciatus_CFT01,NA
Chaetodon_fremblii_PW1517,NA
Chaetodon_gardineri_PW4074,NA
Chaetodon_guentheri_FMNH128374,NA
Chaetodon_guttatissimus_CGU14,NA
Chaetodon_humeralis_PW1006,NA
Chaetodon_interruptus_PW4842E,NA
Chaetodon_kleinii_PW4831,NA
Chaetodon_larvatus_CLA01,NA
Chaetodon_leucopleura_PW4078,NA
Chaetodon_lineolatus_FMNH123553,NA
Chaetodon_litus_PW4847,NA
Chaetodon_lunula_CHLU11,NA
Chaetodon_lunulatus_SJL061,NA
Chaetodon_madagaskariensis_CMD11,NA
Chaetodon_melannotus_CMN01,NA
Chaetodon_melapterus_CMP05,NA
Chaetodon_mertensii_PW3003,NA
Chaetodon_mesoleucos_CMS01,NA
Chaetodon_meyeri_FMNH118571,NA
Chaetodon_miliaris_PW1535,NA
Chaetodon_mitratus_CHI01,NA
Chaetodon_multicinctus_PW1520,NA
Chaetodon_nigropunctatus_CNC01,NA
Chaetodon_nippon_M1853,NA
Chaetodon_ocellatus,NA
Chaetodon_ocellicaudus_FMNH128372,NA
Chaetodon_octofasciatus_PW3014,NA
Chaetodon_ornatissimus_PW5539,NA
Chaetodon_oxycephalus_FMNH119318,NA
Chaetodon_paucifasciatus_CPF01,NA
Chaetodon_pelewensis_PW3004,NA
Chaetodon_pictus_CPS01,NA
Chaetodon_plebeius_CPB01,NA
Chaetodon_punctatofasciatus_PW4843,NA
Chaetodon_quadrimaculatus_PW4068,NA
Chaetodon_rafflesii_CRL01,NA
Chaetodon_rainfordi_FMNH128538,NA
Chaetodon_reticulatus_FMNH123545,NA
Chaetodon_robustus_CRB01,NA
Chaetodon_sanctaehelenae_CHSA02,NA
Chaetodon_sedentarius_PW1245,NA
Chaetodon_selene_CHS01,NA
Chaetodon_semeion_FMNH118569,NA
Chaetodon_semilarvatus_CSE02,NA
Chaetodon_speculum_CHP01,NA
Chaetodon_striatus_PW4854,NA
Chaetodon_tinkeri_PW1545,NA
Chaetodon_triangulum_CTG01,NA
Chaetodon_trichrous_PW4270,NA
Chaetodon_tricinctus_M965,NA
Chaetodon_ulietensis_FMNH119327,NA
Chaetodon_unimaculatus_PW1523,NA
Chaetodon_vagabundus_FMNH120353,NA
Chaetodon_xanthocephalus_CXN01,NA
Chaetodon_xanthurus_PW4859,NA
Chaetodon_zanzibarensis_CZA01,NA
Chelmon_muelleri_M1612,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Chelmon_muelleri/Chelmon_muelleri_FishBase_Chmue_u1.png
Chelmon_rostratus_PW4838,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Chelmon_rostratus/Chelmon_rostratus_FishBase_Chros_u5.png
Chelmonops_curiosus_M1682,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/oriented/Chelmonops_curiosus/Chelmonops_curiosus_iNaturalist_23672257.png
Coradion_altivelis_PW4073,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Coradion_altivelis/Coradion_altivelis_FishBase_Coalt_u0.png
Coradion_chrysozonus_COH01,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Coradion_chrysozonus/Coradion_chrysozonus_FishBase_Cochr_u3.png
Coradion_melanopus_FMNH124029,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Coradion_melanopus/Coradion_melanopus_FishBase_Comel_u0.png
Forcipiger_flavissimus_FFL02,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/analysis/approach_1_gmm/segmented/Forcipiger_flavissimus/Forcipiger_flavissimus_FishBase_Fofla_u3.png
