tip_label,img_path,img_path_2,img_path_3
Chelmon_rostratus_PW4838,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Chelmon_rostratus_Bishop_-1060273696.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Chelmon_rostratus_iNaturalist_10597368.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Chelmon_rostratus_FishPix_33375AF.jpg
Chelmonops_curiosus_M1682,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Chelmonops_curiosus_iNaturalist_13983228.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Chelmonops_curiosus_FishBase_Chcur_u0.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Chelmonops_curiosus_iNaturalist_17452463.jpg
Coradion_altivelis_PW4073,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Coradion_altivelis_Bishop_-1400875907.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Coradion_altivelis_iNaturalist_154303836.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Coradion_altivelis_FishPix_15047AF.jpg
Coradion_chrysozonus_COH01,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Coradion_chrysozonus_Bishop_-1821725095.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Coradion_chrysozonus_iNaturalist_131619442.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Coradion_chrysozonus_FishPix_72095AF.jpg
Coradion_melanopus_FMNH124029,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Coradion_melanopus_Bishop_-1537131019.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Coradion_melanopus_iNaturalist_179314622.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Coradion_melanopus_FishPix_10029AF.jpg
Forcipiger_flavissimus_FFL02,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Forcipiger_flavissimus_Bishop_-1224605166.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Forcipiger_flavissimus_iNaturalist_170376471.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Forcipiger_flavissimus_FishPix_11851AF.jpg
Forcipiger_longirostris,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Forcipiger_longirostris_Bishop_2048048784.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Forcipiger_longirostris_iNaturalist_335279641.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Forcipiger_longirostris_FishBase_Folon_u1.jpg
Forcipiger_wanai_JRH86,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Forcipiger_wanai_iNaturalist_435111898.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Forcipiger_wanai_FishBase_Fowan_u0.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Forcipiger_wanai_iNaturalist_435111986.jpg
Hemitaurichthys_polylepis_PW3095,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Hemitaurichthys_polylepis_Bishop_224753564.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Hemitaurichthys_polylepis_iNaturalist_179467594.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Hemitaurichthys_polylepis_FishPix_19342AF.jpg
Hemitaurichthys_thompsoni_PW5537,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_inaturalist/Hemitaurichthys_thompsoni_iNaturalist_122841071.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images/Hemitaurichthys_thompsoni_FishPix_76147AF.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_fishbase_extra/Hemitaurichthys_thompsoni_FishBase_Hetho_u0.jpg
