filename,species,mouth_x,mouth_y,tail_x,tail_y,original_angle,angle,flip_h,flip_v,dv_tilt,ht_tilt,status,saved_at
Chaetodon_auriga_FishBase_Chaur_ul.png,Chaetodon auriga,118,389,495,170,-30.15,-30.15,no,no,0,0,applied,2026-02-08T18:17:19.120291
Chaetodon_auriga_FishBase_Chaur_uz.png,Chaetodon auriga,510,235,201,249,177.41,177.41,no,yes,0,0,applied,2026-02-08T18:24:09.395135
Chaetodon_auriga_FishPix_12061AF.png,Chaetodon auriga,90,319,464,362,6.56,6.56,no,no,0,0,applied,2026-02-08T18:19:26.226069
Chaetodon_auriga_iNaturalist_6973141.png,Chaetodon auriga,240,216,810,531,28.93,28.93,no,no,0,0,applied,2026-02-08T18:23:34.286735
Chaetodon_auripes_FishBase_Chauru12.png,Chaetodon auripes,97,210,482,265,8.13,8.13,no,no,0,0,applied,2026-02-08T18:26:36.848681
Chaetodon_auripes_FishPix_140765AF.png,Chaetodon auripes,39,415,498,298,-14.3,-14.3,no,no,0,0,applied,2026-02-08T18:26:13.588558
Chaetodon_austriacus_FishBaseUser_1705856644_108.162.212.67.png,Chaetodon austriacus,793,559,225,302,-155.65,-155.65,,,,,applied,2026-02-07T09:06:04.050095
Chaetodon_baronessa_FishBase_Chbar_u8.png,Chaetodon baronessa,445,345,186,177,-147.03,-147.03,no,yes,0,0,applied,2026-02-08T18:30:37.018920
Chaetodon_baronessa_FishWise_007419F000009W000010.png,Chaetodon baronessa,227,353,472,265,-19.76,-19.76,no,no,0,0,applied,2026-02-11T14:38:30.951384
Chaetodon_baronessa_FishWise_007419F000009W000015.png,Chaetodon baronessa,215,464,524,263,-33.04,-33.04,no,no,0,0,applied,2026-02-11T14:29:58.004479
Chaetodon_bennetti_FishBaseUser_1508795146_172.68.102.54.png,Chaetodon bennetti,1487,1471,578,718,-140.36,-140.36,no,yes,0,0,applied,2026-02-08T18:32:56.703113
Chaetodon_bennetti_FishBaseUser_1747225818_95.95.129.49.png,Chaetodon bennetti,1131,1171,2765,1692,17.68,17.68,no,no,0,0,applied,2026-02-08T18:34:21.366992
Chaetodon_bennetti_FishBase_Chben_u4.png,Chaetodon bennetti,471,284,178,178,-160.11,-160.11,no,yes,0,0,applied,2026-02-08T18:31:47.422190
Chaetodon_bennetti_FishBase_Chben_u6.png,Chaetodon bennetti,30,400,510,185,-24.13,-24.13,no,no,0,0,applied,2026-02-08T18:31:26.678970
Chaetodon_bennetti_FishBase_Chben_ud.png,Chaetodon bennetti,546,302,169,165,-160.03,-162.03,no,yes,0,0,applied,2026-02-08T18:32:14.211615
Chaetodon_bennetti_iNaturalist_450199741.png,Chaetodon bennetti,216,621,706,466,-17.55,-17.55,no,no,0,0,applied,2026-02-08T18:33:26.825799
Chaetodon_blackburnii_FishBaseUser_1692770455_172.70.90.91.png,Chaetodon blackburnii,1020,2031,2243,901,-42.74,-42.74,no,no,0,0,applied,2026-02-08T18:36:31.809681
Chaetodon_blackburnii_FishBase_Chbla_u5.png,Chaetodon blackburnii,506,324,134,209,-162.82,-162.82,no,yes,0,0,applied,2026-02-08T18:35:25.211915
Chaetodon_burgessi_FishBaseUser_1368178641_114.155.226.67.png,Chaetodon burgessi,957,309,209,394,173.52,173.52,no,yes,0,0,applied,2026-02-08T18:39:15.544756
Chaetodon_burgessi_FishBase_Chbur_u0.png,Chaetodon burgessi,106,297,423,119,-29.31,-27.81,no,no,0,0,applied,2026-02-08T18:38:30.055304
Chaetodon_burgessi_FishBase_Chbur_u3.png,Chaetodon burgessi,133,385,494,118,-36.49,-36.49,no,no,0,0,applied,2026-02-08T18:37:11.259475
Chaetodon_capistratus_FishBaseUser_1585558624_108.162.229.90.png,Chaetodon capistratus,689,373,205,218,-162.24,-162.24,no,yes,0,0,applied,2026-02-08T18:41:14.434916
Chaetodon_capistratus_FishBaseUser_1617565421_162.158.75.220.png,Chaetodon capistratus,266,936,1647,759,-7.3,-7.3,no,no,0,0,applied,2026-02-08T18:42:03.684095
Chaetodon_capistratus_FishBaseUser_1704222371_172.70.54.42.png,Chaetodon capistratus,673,411,229,340,-170.91,-170.91,no,yes,0,0,applied,2026-02-08T18:42:29.016328
Chaetodon_capistratus_FishBaseUser_1706474720_172.70.254.13.png,Chaetodon capistratus,168,490,701,299,-19.72,-19.72,no,no,0,0,applied,2026-02-08T18:43:04.765064
Chaetodon_capistratus_FishBaseUser_1711483573_172.70.54.91.png,Chaetodon capistratus,143,420,784,411,-0.8,-0.8,no,no,0,0,applied,2026-02-08T18:43:43.521791
Chaetodon_capistratus_FishBaseUser_1711483627_172.70.54.90.png,Chaetodon capistratus,630,411,165,385,-176.8,-176.8,no,yes,0,0,applied,2026-02-08T18:44:11.625330
Chaetodon_capistratus_FishBaseUser_1747226043_95.95.129.49.png,Chaetodon capistratus,2441,1629,1170,914,-150.64,-150.64,no,yes,0,0,applied,2026-02-08T18:44:41.999038
Chaetodon_capistratus_FishBase_Chcap_uh.png,Chaetodon capistratus,414,420,169,126,-129.81,-129.81,no,yes,0,0,applied,2026-02-08T18:40:06.466401
Chaetodon_capistratus_FishBase_Chcap_ui.png,Chaetodon capistratus,89,196,457,262,10.17,10.17,no,no,0,0,applied,2026-02-08T18:40:32.766551
Chaetodon_citrinellus_FishPix_33011AF.png,Chaetodon citrinellus,90,421,441,215,-30.41,-30.41,no,no,0,0,applied,2026-02-08T18:45:40.817566
Chaetodon_decussatus_Bishop_527122207.png,Chaetodon decussatus,50,364,584,255,-11.54,-11.54,no,no,0,0,applied,2026-02-08T20:15:46.169105
Chaetodon_ephippium_FishBase_Cheph_u0.png,Chaetodon ephippium,77,335,514,194,-17.88,-17.88,no,no,0,0,applied,2026-02-12T13:29:54.682666
Chaetodon_guttatissimus_FishBase_Chgut_u3.png,Chaetodon guttatissimus,87,209,486,288,11.2,11.2,,,,,applied,2026-02-07T08:55:36.281542
Chaetodon_ocellatus_FishBase_Choce_ub.png,Chaetodon ocellatus,578,337,137,200,-162.74,-162.74,no,yes,0,0,applied,2026-02-08T21:37:33.572055
Chaetodon_robustus_FishBase_Chrob_u6.png,Chaetodon robustus,423,245,187,192,-167.34,-167.34,no,yes,0,0,applied,2026-02-08T21:41:04.105291
Chaetodon_sanctaehelenae_FishBase_Chsan_u2.png,Chaetodon sanctaehelenae,549,298,161,204,-166.38,-166.38,no,yes,0,0,applied,2026-02-08T21:41:54.530527
Chaetodon_striatus_FishBase_Chstr_ua.png,Chaetodon striatus,138,358,463,177,-29.11,-29.11,no,no,0,0,applied,2026-02-08T21:43:10.149710
Chaetodon_triangulum_FishBase_Chtri_ub.png,Chaetodon triangulum,526,282,150,241,-173.78,-173.78,no,yes,0,0,applied,2026-02-08T21:48:37.489425
Chelmonops_curiosus_iNaturalist_23672257.png,Chelmonops curiosus,811,732,285,305,-140.93,-140.93,no,yes,0,0,applied,2026-02-08T19:55:16.316316
Forcipiger_wanai_FishBase_Fowan_u0.png,Forcipiger wanai,65,267,485,229,-5.17,-5.17,no,no,0,0,applied,2026-02-08T19:57:02.726942
Hemitaurichthys_thompsoni_FishBase_Hetho_u0.png,Hemitaurichthys thompsoni,71,284,463,161,-17.42,-17.42,no,no,0,0,applied,2026-02-08T19:46:10.203465
Hemitaurichthys_zoster_FishBase_Hezos_u3.png,Hemitaurichthys zoster,95,194,499,301,14.83,14.83,no,no,0,0,applied,2026-02-08T19:47:00.459019
Heniochus_monoceros_FishBase_Hemon_u1.png,Heniochus monoceros,98,219,431,250,5.32,5.32,no,no,0,0,applied,2026-02-08T19:49:34.394391
Heniochus_varius_FishBase_Hevar_u0.png,Heniochus varius,192,310,446,216,-20.31,-20.31,no,no,0,0,applied,2026-02-08T19:51:18.752819
Johnrandallia_nigrirostris_FishBase_Jonig_u0.png,Johnrandallia nigrirostris,150,197,439,216,3.76,3.76,no,no,0,0,applied,2026-02-08T19:51:44.219264
Johnrandallia_nigrirostris_FishBase_Jonig_u2.png,Johnrandallia nigrirostris,76,326,461,213,-16.36,-16.36,no,no,0,0,applied,2026-02-08T19:53:22.498797
Parachaetodon_ocellatus_FishBase_Paoce_u0.png,Parachaetodon ocellatus,58,371,421,249,-18.58,-18.58,no,no,0,0,applied,2026-02-08T19:31:54.419882
Parachaetodon_ocellatus_FishBase_Paoce_u4.png,Parachaetodon ocellatus,460,294,186,219,-164.69,-164.69,no,yes,0,0,applied,2026-02-08T19:31:03.435411
Prognathodes_aculeatus_FishBase_Chacu_u1.png,Prognathodes aculeatus,117,165,412,240,14.26,14.26,no,no,0,0,applied,2026-02-08T19:25:56.816732
Prognathodes_aculeatus_FishBase_Pracu_u0.png,Prognathodes aculeatus,129,384,423,96,-44.41,-44.41,no,no,0,0,applied,2026-02-08T19:26:24.632952
Prognathodes_aculeatus_FishBase_Pracu_u1.png,Prognathodes aculeatus,223,342,437,146,-42.49,-42.49,no,no,0,0,applied,2026-02-08T19:26:50.672643
Prognathodes_aculeatus_FishBase_Pracu_u3.png,Prognathodes aculeatus,162,376,447,137,-39.98,-39.98,no,no,0,0,applied,2026-02-08T19:27:46.325039
Prognathodes_aya_FishBase_Praya_u0.png,Prognathodes aya,79,292,423,178,-18.33,-18.33,no,no,0,0,applied,2026-02-08T19:28:27.305923
Prognathodes_brasiliensis_FishBase_Prbra_u2.png,Prognathodes brasiliensis,218,167,489,314,28.48,28.48,no,no,0,0,applied,2026-02-08T19:29:19.612822
Prognathodes_dichrous_FishBase_Prdic_u0.png,Prognathodes dichrous,78,293,499,221,-9.7,-9.7,no,no,0,0,applied,2026-02-08T19:23:37.746784
Prognathodes_dichrous_FishBase_Prdic_u1.png,Prognathodes dichrous,182,48,119,313,103.37,103.37,no,no,0,0,applied,2026-02-08T19:22:49.797952
Prognathodes_dichrous_FishPix_89092AF.png,Prognathodes dichrous,580,419,134,342,-170.2,-170.2,no,yes,0,0,applied,2026-02-08T19:23:06.464276
Prognathodes_falcifer_FishBaseUser_1635576194_172.70.147.83.png,Prognathodes falcifer,106,1234,1134,1091,-7.92,-7.92,no,no,0,0,applied,2026-02-08T19:25:14.825406
Prognathodes_falcifer_iNaturalist_562177068.png,Prognathodes falcifer,713,412,298,371,-174.36,-174.36,no,yes,0,0,applied,2026-02-08T19:20:29.135132
Prognathodes_guyanensis_FishBase_Prguy_u0.png,Prognathodes guyanensis,44,238,514,280,5.11,5.11,no,no,0,0,applied,2026-02-08T19:19:06.621863
Prognathodes_guyanensis_FishPix_89093AF.png,Prognathodes guyanensis,43,373,490,383,1.28,1.28,no,no,0,0,applied,2026-02-08T19:19:39.985997
Prognathodes_marcellae_iNaturalist_184144288.png,Prognathodes marcellae,264,342,654,508,23.06,23.06,no,no,0,0,applied,2026-02-08T19:17:18.333900
Prognathodes_marcellae_iNaturalist_184144302.png,Prognathodes marcellae,303,296,653,427,20.52,20.52,no,no,0,0,applied,2026-02-08T19:18:00.933175
Prognathodes_marcellae_iNaturalist_273249646.png,Prognathodes marcellae,362,390,827,337,-6.5,-6.5,no,no,0,0,applied,2026-02-08T19:17:43.964648
Prognathodes_obliquus_FishBase_Chobl_u1.png,Prognathodes obliquus,583,278,145,236,-174.52,-174.52,no,yes,0,0,applied,2026-02-09T06:59:47.925072
Roa_modesta_FishBase_Chmod_u2.png,Roa modesta,103,269,405,226,-8.1,-8.1,no,no,0,0,applied,2026-02-08T18:47:19.392337
Roa_modesta_FishBase_Romod_u0.png,Roa modesta,459,352,202,191,-147.93,-147.93,no,yes,0,0,applied,2026-02-08T18:47:48.084273
Roa_modesta_FishBase_Romod_u1.png,Roa modesta,200,250,413,216,-9.07,-9.07,no,no,0,0,applied,2026-02-08T18:48:19.686700
