filename,species,directory,method,n_fish_detected,selected_mask_area,image_width,image_height,mask_fraction,segmented_path,status
Amphichaetodon_howensis_FishBase_Amhow_u3.jpg,Amphichaetodon howensis,images,macos_vision,1,107209,510,450,0.4671,analysis/approach_1_gmm/segmented/Amphichaetodon_howensis/Amphichaetodon_howensis_FishBase_Amhow_u3.png,success
Amphichaetodon_melbae_FishBase_Ammel_u0.jpg,Amphichaetodon melbae,images,macos_vision,1,101005,503,450,0.4462,analysis/approach_1_gmm/segmented/Amphichaetodon_melbae/Amphichaetodon_melbae_FishBase_Ammel_u0.png,success
Chaetodon_adiergastos_FishPix_28455AF.jpg,Chaetodon adiergastos,images,macos_vision,1,107928,640,640,0.2635,analysis/approach_1_gmm/segmented/Chaetodon_adiergastos/Chaetodon_adiergastos_FishPix_28455AF.png,success
Chaetodon_andamanensis_FishPix_88987AF.jpg,Chaetodon andamanensis,images,macos_vision,1,157961,640,640,0.3856,analysis/approach_1_gmm/segmented/Chaetodon_andamanensis/Chaetodon_andamanensis_FishPix_88987AF.png,success
Chaetodon_argentatus_FishPix_2068AF.jpg,Chaetodon argentatus,images,macos_vision,1,122328,640,640,0.2987,analysis/approach_1_gmm/segmented/Chaetodon_argentatus/Chaetodon_argentatus_FishPix_2068AF.png,success
Chaetodon_assarius_FishBase_Chass_u0.jpg,Chaetodon assarius,images,macos_vision,1,132700,639,479,0.4335,analysis/approach_1_gmm/segmented/Chaetodon_assarius/Chaetodon_assarius_FishBase_Chass_u0.png,success
Chaetodon_aureofasciatus_FishBase_Chaur_ui.jpg,Chaetodon aureofasciatus,images,macos_vision,1,95950,640,427,0.3511,analysis/approach_1_gmm/segmented/Chaetodon_aureofasciatus/Chaetodon_aureofasciatus_FishBase_Chaur_ui.png,success
Chaetodon_auriga_FishPix_12061AF.jpg,Chaetodon auriga,images,macos_vision,1,94465,640,640,0.2306,analysis/approach_1_gmm/segmented/Chaetodon_auriga/Chaetodon_auriga_FishPix_12061AF.png,success
Chaetodon_auripes_FishPix_140765AF.jpg,Chaetodon auripes,images,macos_vision,1,130329,640,640,0.3182,analysis/approach_1_gmm/segmented/Chaetodon_auripes/Chaetodon_auripes_FishPix_140765AF.png,success
Chaetodon_austriacus_FishBase_Chaus_u1.jpg,Chaetodon austriacus,images,macos_vision,2,147997,572,450,0.575,analysis/approach_1_gmm/segmented/Chaetodon_austriacus/Chaetodon_austriacus_FishBase_Chaus_u1.png,success
Chaetodon_baronessa_FishPix_23026AF.jpg,Chaetodon baronessa,images,macos_vision,1,102700,640,640,0.2507,analysis/approach_1_gmm/segmented/Chaetodon_baronessa/Chaetodon_baronessa_FishPix_23026AF.png,success
Chaetodon_bennetti_FishPix_16721AF.jpg,Chaetodon bennetti,images,macos_vision,1,129535,640,640,0.3162,analysis/approach_1_gmm/segmented/Chaetodon_bennetti/Chaetodon_bennetti_FishPix_16721AF.png,success
Chaetodon_blackburnii_FishBase_Chbla_u0.jpg,Chaetodon blackburnii,images,macos_vision,2,152731,612,450,0.5546,analysis/approach_1_gmm/segmented/Chaetodon_blackburnii/Chaetodon_blackburnii_FishBase_Chbla_u0.png,success
Chaetodon_burgessi_FishPix_55799AF.jpg,Chaetodon burgessi,images,macos_vision,1,156168,640,640,0.3813,analysis/approach_1_gmm/segmented/Chaetodon_burgessi/Chaetodon_burgessi_FishPix_55799AF.png,success
Chaetodon_capistratus_FishBase_Chcap_u9.jpg,Chaetodon capistratus,images,macos_vision,1,163140,609,480,0.5581,analysis/approach_1_gmm/segmented/Chaetodon_capistratus/Chaetodon_capistratus_FishBase_Chcap_u9.png,success
Chaetodon_citrinellus_FishPix_33011AF.jpg,Chaetodon citrinellus,images,macos_vision,1,108233,640,640,0.2642,analysis/approach_1_gmm/segmented/Chaetodon_citrinellus/Chaetodon_citrinellus_FishPix_33011AF.png,success
Chaetodon_collare_FishPix_61562AF.jpg,Chaetodon collare,images,macos_vision,1,89853,640,640,0.2194,analysis/approach_1_gmm/segmented/Chaetodon_collare/Chaetodon_collare_FishPix_61562AF.png,success
Chaetodon_daedalma_FishPix_140579AF.jpg,Chaetodon daedalma,images,macos_vision,1,130014,640,640,0.3174,analysis/approach_1_gmm/segmented/Chaetodon_daedalma/Chaetodon_daedalma_FishPix_140579AF.png,success
Chaetodon_declivis_FishBase_Chdec_u2.jpg,Chaetodon declivis,images,macos_vision,1,110716,511,450,0.4815,analysis/approach_1_gmm/segmented/Chaetodon_declivis/Chaetodon_declivis_FishBase_Chdec_u2.png,success
Chaetodon_decussatus_FishBase_Chdec_u4.jpg,Chaetodon decussatus,images,macos_vision,1,129699,547,450,0.5269,analysis/approach_1_gmm/segmented/Chaetodon_decussatus/Chaetodon_decussatus_FishBase_Chdec_u4.png,success
Chaetodon_dialeucos_FishBase_Chdia_j0.jpg,Chaetodon dialeucos,images,macos_vision,1,60933,640,447,0.213,analysis/approach_1_gmm/segmented/Chaetodon_dialeucos/Chaetodon_dialeucos_FishBase_Chdia_j0.png,success
Chaetodon_dolosus_FishBase_Chdol_u0.jpg,Chaetodon dolosus,images,macos_vision,1,121046,640,447,0.4231,analysis/approach_1_gmm/segmented/Chaetodon_dolosus/Chaetodon_dolosus_FishBase_Chdol_u0.png,success
Chaetodon_ephippium_FishPix_141659AF.jpg,Chaetodon ephippium,images,macos_vision,1,118741,640,640,0.2899,analysis/approach_1_gmm/segmented/Chaetodon_ephippium/Chaetodon_ephippium_FishPix_141659AF.png,success
Chaetodon_falcula_FishPix_22173AF.jpg,Chaetodon falcula,images,macos_vision,1,126331,640,640,0.3084,analysis/approach_1_gmm/segmented/Chaetodon_falcula/Chaetodon_falcula_FishPix_22173AF.png,success
Chaetodon_fasciatus_FishPix_32789AF.jpg,Chaetodon fasciatus,images,macos_vision,1,113623,640,640,0.2774,analysis/approach_1_gmm/segmented/Chaetodon_fasciatus/Chaetodon_fasciatus_FishPix_32789AF.png,success
Chaetodon_flavirostris_FishPix_32909AF.jpg,Chaetodon flavirostris,images,macos_vision,1,86708,640,640,0.2117,analysis/approach_1_gmm/segmented/Chaetodon_flavirostris/Chaetodon_flavirostris_FishPix_32909AF.png,success
Chaetodon_flavocoronatus_FishBase_Chfla_u4.jpg,Chaetodon flavocoronatus,images,macos_vision,1,104185,501,450,0.4621,analysis/approach_1_gmm/segmented/Chaetodon_flavocoronatus/Chaetodon_flavocoronatus_FishBase_Chfla_u4.png,success
Chaetodon_fremblii_FishPix_85090AF.jpg,Chaetodon fremblii,images,macos_vision,1,94583,640,640,0.2309,analysis/approach_1_gmm/segmented/Chaetodon_fremblii/Chaetodon_fremblii_FishPix_85090AF.png,success
Chaetodon_gardineri_FishBase_Chgar_u1.jpg,Chaetodon gardineri,images,macos_vision,1,146248,623,450,0.5217,analysis/approach_1_gmm/segmented/Chaetodon_gardineri/Chaetodon_gardineri_FishBase_Chgar_u1.png,success
Chaetodon_guentheri_FishPix_16011AF.jpg,Chaetodon guentheri,images,macos_vision,1,98407,640,640,0.2403,analysis/approach_1_gmm/segmented/Chaetodon_guentheri/Chaetodon_guentheri_FishPix_16011AF.png,success
Chaetodon_guttatissimus_FishBase_Chgut_u0.jpg,Chaetodon guttatissimus,images,macos_vision,1,130999,565,450,0.5152,analysis/approach_1_gmm/segmented/Chaetodon_guttatissimus/Chaetodon_guttatissimus_FishBase_Chgut_u0.png,success
Chaetodon_hoefleri_FishBase_Chhoe_u1.jpg,Chaetodon hoefleri,images,macos_vision,1,100128,640,480,0.3259,analysis/approach_1_gmm/segmented/Chaetodon_hoefleri/Chaetodon_hoefleri_FishBase_Chhoe_u1.png,success
Chaetodon_humeralis_FishBase_Chhum_u3.jpg,Chaetodon humeralis,images,macos_vision,1,128382,640,471,0.4259,analysis/approach_1_gmm/segmented/Chaetodon_humeralis/Chaetodon_humeralis_FishBase_Chhum_u3.png,success
Chaetodon_interruptus_FishBase_Chuni_uh.jpg,Chaetodon interruptus,images,macos_vision,1,98231,640,450,0.3411,analysis/approach_1_gmm/segmented/Chaetodon_interruptus/Chaetodon_interruptus_FishBase_Chuni_uh.png,success
Chaetodon_kleinii_FishPix_10587AF.jpg,Chaetodon kleinii,images,macos_vision,1,123768,640,640,0.3022,analysis/approach_1_gmm/segmented/Chaetodon_kleinii/Chaetodon_kleinii_FishPix_10587AF.png,success
Chaetodon_larvatus_FishPix_85092AF.jpg,Chaetodon larvatus,images,macos_vision,1,94926,640,640,0.2318,analysis/approach_1_gmm/segmented/Chaetodon_larvatus/Chaetodon_larvatus_FishPix_85092AF.png,success
Chaetodon_leucopleura_FishBase_Chleu_u5.jpg,Chaetodon leucopleura,images,macos_vision,1,115966,522,450,0.4937,analysis/approach_1_gmm/segmented/Chaetodon_leucopleura/Chaetodon_leucopleura_FishBase_Chleu_u5.png,success
