filename,species,source,rotation_deg,flipped_horizontal,method,confidence,reference_image,needs_review
Chaetodon_baronessa_FishBase_Chbar_j0.jpg,Chaetodon baronessa,fishbase,18.9,no,trusted_flagged,0.477,Chaetodon_baronessa_Bishop_-2122794458.jpg,yes
Chaetodon_baronessa_FishBase_Chbar_u2.jpg,Chaetodon baronessa,fishbase,3.1,no,trusted_flagged,0.3239,Chaetodon_baronessa_Bishop_-2122794458.jpg,yes
Chaetodon_baronessa_FishBase_Chbar_u5.jpg,Chaetodon baronessa,fishbase,7.7,no,trusted_flagged,0.2244,Chaetodon_baronessa_Bishop_-2122794458.jpg,yes
Chaetodon_baronessa_iNaturalist_409626771.jpg,Chaetodon baronessa,inaturalist,13.3,no,template_uncertain,0.0707,Chaetodon_baronessa_Bishop_-2122794458.jpg,yes
Chaetodon_blackburnii_FishBase_Chbla_j1.jpg,Chaetodon blackburnii,fishbase,6.1,no,trusted_flagged,0.2222,Chaetodon_blackburnii_Bishop_-410407509.jpg,yes
Chaetodon_blackburnii_iNaturalist_313216433.jpg,Chaetodon blackburnii,inaturalist,8.1,no,template_uncertain,0.0571,Chaetodon_blackburnii_Bishop_-410407509.jpg,yes
Chaetodon_burgessi_FishBase_Chbur_u0.jpg,Chaetodon burgessi,fishbase,16.7,no,trusted_flagged,0.5852,Chaetodon_burgessi_FishBase_Chbur_u1.jpg,yes
Chaetodon_capistratus_iNaturalist_194558459.jpg,Chaetodon capistratus,inaturalist,0.0,no,template_uncertain,0.127,Chaetodon_capistratus_FishBase_Chcap_u9.jpg,yes
Chaetodon_capistratus_iNaturalist_449536529.jpg,Chaetodon capistratus,inaturalist,0.0,no,template_uncertain,0.0526,Chaetodon_capistratus_FishBase_Chcap_u9.jpg,yes
Chaetodon_citrinellus_iNaturalist_471967882.jpg,Chaetodon citrinellus,inaturalist,-12.1,no,template_uncertain,0.0535,Chaetodon_citrinellus_Bishop_-1191499504.jpg,yes
Chaetodon_citrinellus_iNaturalist_536646907.jpg,Chaetodon citrinellus,inaturalist,2.1,no,template_uncertain,0.0581,Chaetodon_citrinellus_Bishop_-1191499504.jpg,yes
Chaetodon_citrinellus_iNaturalist_585084786.jpg,Chaetodon citrinellus,inaturalist,-6.4,no,template_uncertain,0.0819,Chaetodon_citrinellus_Bishop_-1191499504.jpg,yes
Chaetodon_citrinellus_iNaturalist_602667833.jpg,Chaetodon citrinellus,inaturalist,19.2,no,template_uncertain,0.0797,Chaetodon_citrinellus_Bishop_-1191499504.jpg,yes
