species,n_images,L_cv_across,a_cv_across,b_cv_across,chroma_cv_across,L_complexity,a_complexity,b_complexity,max_Lab_dist
Forcipiger longirostris,53,18.907,13.232,21.639,18.797,20.071,8.945,28.092,108.205
Chaetodon speculum,37,12.657,9.218,17.657,16.142,22.067,7.554,23.279,97.073
Chaetodon ornatissimus,43,11.633,9.315,15.584,10.227,18.409,9.139,21.713,88.88
Chaetodon sanctaehelenae,11,12.454,7.745,19.831,16.09,13.123,6.591,16.834,86.786
Hemitaurichthys polylepis,26,9.172,9.46,13.914,6.827,23.739,8.852,31.118,84.283
Chaetodon octofasciatus,51,10.228,10.229,15.885,15.634,24.212,7.665,17.523,79.737
Chaetodon kleinii,60,10.626,10.004,15.083,13.815,18.581,8.179,21.524,76.958
Chaetodon lunula,54,9.436,13.946,12.56,11.231,24.468,9.617,25.215,76.644
Chaetodon rainfordi,18,11.896,13.315,16.505,15.436,15.348,8.251,19.979,76.377
Chaetodon sedentarius,22,11.078,6.141,15.076,10.17,21.582,6.318,15.534,75.604
Forcipiger flavissimus,58,9.917,10.345,13.281,12.806,20.358,7.395,30.777,74.954
Chaetodon interruptus,56,9.665,15.408,9.506,11.935,19.925,8.316,23.337,73.611
Chaetodon plebeius,27,9.845,10.039,10.675,11.347,18.01,6.508,23.153,72.241
Chaetodon semeion,24,11.922,12.467,17.031,16.433,18.007,5.907,22.675,71.955
Chaetodon melapterus,18,12.49,9.345,16.05,16.963,24.589,11.01,24.337,71.569
Chaetodon striatus,28,9.478,7.927,12.942,9.05,25.166,6.358,8.904,71.527
Chaetodon citrinellus,27,9.56,9.293,14.405,11.81,20.363,5.951,13.536,70.896
Chaetodon semilarvatus,48,10.118,16.406,10.725,8.148,16.681,10.279,22.228,69.75
Chaetodon bennetti,27,7.628,15.507,8.667,9.306,20.046,9.46,24.547,69.507
Hemitaurichthys thompsoni,9,10.496,9.219,15.511,15.825,10.509,7.061,9.011,69.377
Chaetodon baronessa,31,7.991,9.836,12.792,8.485,23.76,7.62,14.374,68.329
Chaetodon punctatofasciatus,39,10.633,10.986,15.033,12.699,20.662,9.397,20.236,68.258
Chaetodon trifasciatus,33,12.507,8.881,10.894,8.355,19.086,7.032,20.749,67.419
Hemitaurichthys zoster,26,10.299,10.321,11.996,11.093,27.708,7.816,9.493,67.263
Chaetodon xanthocephalus,45,14.441,12.368,9.563,10.104,17.884,7.549,20.9,67.035
Chaetodon mertensii,25,9.109,6.076,10.571,7.818,20.71,7.378,26.518,66.724
Chaetodon guttatissimus,39,10.764,9.924,12.24,10.496,22.088,6.978,13.244,66.654
Heniochus monoceros,36,9.404,10.795,9.77,9.351,24.901,8.788,20.191,65.345
Chaetodon lunulatus,46,14.983,11.626,9.375,7.458,18.765,7.642,19.226,64.757
Chaetodon wiebeli,29,8.729,14.45,11.08,10.501,16.979,8.574,21.236,64.434
Chaetodon auriga,64,8.729,13.827,7.193,8.782,21.499,8.389,27.093,64.431
Chaetodon ocellatus,30,9.306,9.341,13.003,7.03,19.127,7.86,23.715,63.881
Chaetodon miliaris,22,11.434,12.634,14.918,13.251,18.154,7.6,19.067,63.864
Chaetodon rafflesii,32,12.539,13.327,16.095,16.241,18.384,7.514,19.032,63.789
Chaetodon vagabundus,46,11.127,8.665,7.103,7.207,22.069,6.742,18.235,62.519
Chaetodon quadrimaculatus,24,10.235,8.602,13.485,9.816,27.801,9.702,30.043,62.431
Chaetodon mesoleucos,20,12.302,5.695,11.903,7.168,24.444,6.592,11.315,61.942
Chaetodon andamanensis,4,18.302,6.878,17.128,17.673,19.283,4.334,16.448,61.934
Chaetodon zanzibarensis,17,11.938,8.951,13.925,14.628,16.319,6.79,19.319,61.322
Chaetodon triangulum,16,9.075,11.137,13.154,11.394,18.844,6.698,11.08,60.681
Chaetodon mitratus,23,10.977,6.707,8.864,7.849,32.095,9.693,25.641,60.334
Chaetodon lineolatus,40,8.929,9.621,12.152,9.083,23.304,8.28,25.179,60.209
Chaetodon melannotus,53,9.566,9.291,8.226,7.693,23.646,7.381,27.3,60.173
Chaetodon madagaskariensis,28,12.78,9.439,9.179,7.834,19.66,10.064,22.181,60.07
Heniochus intermedius,32,6.626,9.403,12.945,8.113,26.932,11.067,22.979,59.549
Chaetodon xanthurus,28,12.265,7.517,10.495,5.365,19.488,10.11,20.489,59.203
Chaetodon trifascialis,54,10.66,8.494,8.841,7.465,23.754,7.106,16.893,58.517
Chaetodon unimaculatus,32,8.605,9.884,11.386,10.241,21.939,7.5,22.661,57.838
Prognathodes marcellae,8,6.641,14.963,5.846,8.487,24.996,11.991,20.653,57.613
Chaetodon trichrous,13,6.706,12.944,12.967,9.934,19.714,8.322,14.15,57.046
Forcipiger wanai,13,11.764,8.346,11.953,9.664,19.377,8.461,28.445,56.977
Heniochus acuminatus,75,8.381,9.369,8.881,8.108,28.24,7.081,15.957,56.861
Chaetodon adiergastos,34,10.678,10.753,8.277,7.468,19.93,7.586,22.582,56.441
Chaetodon robustus,13,8.875,10.165,14.215,7.434,21.779,10.5,18.506,56.129
Chaetodon leucopleura,14,11.392,11.529,8.282,9.708,20.892,7.124,21.728,55.957
Chaetodon austriacus,21,11.833,7.429,11.91,10.781,25.834,7.266,28.41,55.66
Chelmon rostratus,38,9.445,10.048,8.542,9.154,17.802,10.003,22.194,55.387
Roa modesta,19,14.389,6.542,7.986,8.181,15.709,6.315,17.092,54.852
Heniochus pleurotaenia,20,7.898,11.004,9.611,7.796,24.269,7.779,12.615,54.416
Heniochus varius,42,9.195,7.662,7.276,5.953,26.079,7.086,15.538,54.398
Chaetodon fasciatus,22,7.997,8.89,8.11,9.019,25.723,8.863,27.225,53.929
Chaetodon reticulatus,19,6.866,7.145,11.418,6.782,25.913,6.512,11.545,53.887
Chaetodon smithi,9,8.392,6.289,11.103,9.556,34.395,7.837,31.14,53.67
Coradion altivelis,23,8.931,10.031,11.606,10.122,22.826,9.314,20.114,53.629
Chaetodon paucifasciatus,31,12.732,7.035,9.475,8.17,20.552,17.384,15.997,53.361
Prognathodes aculeatus,17,10.569,7.796,10.033,8.871,24.624,9.324,17.426,52.786
Chelmonops curiosus,14,8.396,11.349,12.438,8.362,24.293,10.037,9.698,52.154
Chaetodon meyeri,48,9.32,8.773,9.87,6.377,26.401,8.288,21.488,52.08
Chaetodon ocellicaudus,26,10.915,6.748,8.572,6.009,20.86,7.233,31.706,51.757
Parachaetodon ocellatus,20,9.81,4.586,8.783,5.193,21.898,4.895,15.142,51.413
Chaetodon assarius,4,17.672,6.323,7.176,5.661,18.959,7.445,13.098,51.044
Chaetodon capistratus,16,12.989,4.483,9.194,4.72,21.3,6.76,13.788,50.987
Chaetodon nigropunctatus,19,12.06,7.705,7.301,6.4,17.306,5.231,8.919,50.588
Prognathodes falcifer,12,10.301,9.502,8.004,8.666,23.732,9.188,12.773,49.796
Chaetodon selene,21,9.655,7.156,7.832,7.632,21.184,7.191,22.079,49.313
Chelmonops truncatus,13,13.381,6.357,7.434,4.588,25.057,7.75,9.588,49.31
Heniochus chrysostomus,40,8.694,6.799,9.369,5.926,28.685,7.992,13.453,48.72
Coradion melanopus,31,11.099,6.44,6.081,5.037,25.415,7.72,15.417,48.172
Johnrandallia nigrirostris,16,10.7,7.606,15.323,7.959,23.049,8.007,15.869,47.965
Heniochus singularius,26,9.61,9.731,7.138,8.28,26.415,10.171,25.964,47.481
Heniochus diphreutes,31,7.864,6.46,8.565,7.776,29.955,7.822,13.981,47.403
Chaetodon ephippium,46,8.876,10.289,8.763,8.549,25.683,8.885,18.403,47.341
Chaetodon larvatus,22,12.767,6.551,7.296,6.345,24.596,8.111,15.864,46.874
Chaetodon nippon,15,11.602,8.344,9.099,9.484,20.605,7.017,16.667,46.816
Amphichaetodon howensis,16,9.963,4.977,8.482,7.649,30.526,4.9,12.046,46.723
Prognathodes aya,8,6.748,2.805,12.692,8.359,24.021,7.812,20.617,46.232
Chaetodon marleyi,16,11.901,5.453,8.981,7.63,22.743,7.82,16.745,46.206
Coradion chrysozonus,35,8.46,7.899,8.321,4.743,21.924,9.474,19.735,45.239
Chaetodon pelewensis,25,7.308,10.057,9.534,7.059,20.802,7.982,21.032,45.178
Chaetodon fremblii,15,10.484,8.959,10.029,8.945,18.618,6.166,25.509,44.678
Chelmon marginalis,18,9.298,10.108,10.976,9.691,19.712,9.186,18.66,44.669
Chaetodon collare,26,10.433,5.936,7.499,5.214,20.395,8.14,12.943,44.265
Prognathodes carlhubbsi,15,13.194,5.975,6.667,7.469,26.343,7.199,11.979,43.976
Chaetodon ulietensis,30,8.476,9.082,6.936,5.707,24.313,7.282,26.529,43.553
Roa jayakari,6,10.38,8.593,9.501,8.866,19.671,7.623,13.203,43.077
Chaetodon oxycephalus,18,9.776,5.856,9.51,5.4,21.064,7.468,23.194,42.349
Chaetodon guentheri,16,9.641,5.275,11.053,8.315,17.635,6.641,24.751,42.233
Chaetodon hoefleri,14,8.798,3.936,5.293,5.139,24.452,11.665,24.862,40.967
Chaetodon multicinctus,16,6.663,9.575,9.183,8.132,19.621,5.782,11.043,40.899
Chaetodon humeralis,15,10.628,7.847,8.111,7.329,21.134,5.293,7.353,40.774
Chaetodon aureofasciatus,7,5.612,11.759,7.611,8.921,19.132,6.759,21.818,40.19
Chelmon muelleri,14,8.468,6.967,6.166,5.583,22.562,7.074,12.925,39.648
Prognathodes guyanensis,6,10.642,4.159,12.907,10.763,29.017,5.024,13.999,39.595
Chaetodon gardineri,17,10.405,6.033,7.39,7.536,24.169,9.504,16.565,38.134
Chaetodon pictus,14,8.161,7.012,9.182,6.305,20.402,7.434,17.858,37.109
Prognathodes dichrous,4,8.688,7.302,7.439,4.307,33.607,9.26,15.635,36.307
Chaetodon dolosus,11,7.728,7.674,8.511,4.61,25.782,9.091,18.224,34.992
Chaetodon decussatus,18,6.728,6.726,8.188,7.44,28.486,6.088,13.933,34.968
Chaetodon tinkeri,24,7.019,5.168,7.856,6.051,32.914,6.625,15.774,34.797
Chaetodon argentatus,11,9.292,3.526,4.473,3.18,29.648,4.273,8.634,34.623
Chaetodon tricinctus,12,8.41,7.276,4.019,4.649,30.013,8.487,20.455,33.768
Chaetodon burgessi,6,3.127,5.526,10.053,8.169,33.171,5.718,9.509,33.622
Chaetodon blackburnii,17,7.521,5.175,5.247,5.639,27.766,7.011,13.814,33.098
Chaetodon falcula,16,7.822,6.2,5.757,6.883,27.341,7.91,27.866,31.443
Chaetodon litus,11,7.08,3.383,3.844,2.028,19.583,4.023,6.247,29.492
Chaetodon daedalma,4,10.222,7.203,5.302,5.511,27.939,7.987,14.74,28.957
Chaetodon auripes,11,6.959,6.439,6.136,7.081,21.524,6.09,19.652,27.833
Chaetodon flavocoronatus,9,4.794,3.503,4.014,5.433,31.266,6.705,18.0,22.586
Chaetodon flavirostris,8,5.145,4.745,5.287,3.602,22.7,7.022,21.354,22.035
Prognathodes brasiliensis,2,0.218,7.467,7.766,1.183,23.375,10.112,27.632,21.551
Chaetodon modestus,3,5.747,1.357,4.57,6.577,22.038,4.674,20.097,14.098
Chaetodon declivis,5,3.827,3.07,1.185,0.66,28.425,5.021,18.786,13.76
Roa excelsa,2,0.04,0.047,3.778,0.247,26.065,4.011,11.72,7.557
Amphichaetodon melbae,4,1.276,1.98,0.401,4.083,31.865,5.392,8.146,5.777
Chaetodon dialeucos,2,0.122,0.006,0.025,0.009,24.384,6.763,5.131,0.249
Hemitaurichthys multispinosus,2,0.113,0.038,0.035,0.064,17.341,3.223,6.037,0.248
Roa australis,2,0.005,0.011,0.034,0.033,14.537,7.528,23.238,0.072
Chaetodon excelsa,1,,,,,,,,
Chaetodon zanzibariensis,1,,,,,,,,
Prognathodes obliquus,1,,,,,,,,
