species,fishbase_file,bishop_file,is_duplicate,reviewed_at,notes
Chaetodon baronessa,Chaetodon_baronessa_FishBase_Chbar_u4.jpg,Chaetodon_baronessa_Bishop_1152880952.jpg,no,2026-02-05T12:32:34.141345,
Chaetodon baronessa,Chaetodon_baronessa_FishBase_Chbar_u1.jpg,Chaetodon_baronessa_Bishop_-2122794458.jpg,no,2026-02-05T12:34:23.694919,
Chaetodon baronessa,Chaetodon_baronessa_FishBase_Chbar_u4.jpg,Chaetodon_baronessa_Bishop_918345433.jpg,no,2026-02-05T12:34:26.274349,
Chaetodon baronessa,Chaetodon_baronessa_FishBase_Chbar_u0.jpg,Chaetodon_baronessa_Bishop_601798515.jpg,no,2026-02-05T12:35:56.409164,
Chaetodon baronessa,Chaetodon_baronessa_FishBase_Chbar_u1.jpg,Chaetodon_baronessa_Bishop_601798515.jpg,no,2026-02-05T12:35:58.275938,
Chaetodon baronessa,Chaetodon_baronessa_FishBase_Chbar_u0.jpg,Chaetodon_baronessa_Bishop_918345433.jpg,no,2026-02-05T12:36:49.326249,
Chaetodon baronessa,Chaetodon_baronessa_FishBase_Chbar_u4.jpg,Chaetodon_baronessa_Bishop_-2122794458.jpg,no,2026-02-05T12:36:50.731813,
Chaetodon baronessa,Chaetodon_baronessa_FishBase_Chbar_u3.jpg,Chaetodon_baronessa_Bishop_601798515.jpg,no,2026-02-05T12:37:26.368117,
Chaetodon bennetti,Chaetodon_bennetti_FishBase_Chben_u1.jpg,Chaetodon_bennetti_Bishop_-2064196433.jpg,yes,2026-02-05T12:22:40.696594,
Chaetodon bennetti,Chaetodon_bennetti_FishBase_Chben_u2.jpg,Chaetodon_bennetti_Bishop_711591108.jpg,yes,2026-02-05T12:23:50.488547,
Chaetodon bennetti,Chaetodon_bennetti_FishBase_Chben_u2.jpg,Chaetodon_bennetti_Bishop_-2064196433.jpg,no,2026-02-05T12:36:00.892606,
Chaetodon bennetti,Chaetodon_bennetti_FishBase_Chben_u1.jpg,Chaetodon_bennetti_Bishop_711591108.jpg,no,2026-02-05T12:36:52.318098,
Chaetodon blackburnii,Chaetodon_blackburnii_FishBase_Chbla_u0.jpg,Chaetodon_blackburnii_Bishop_300609141.jpg,yes,2026-02-05T12:22:42.129833,
Chaetodon blackburnii,Chaetodon_blackburnii_FishBase_Chbla_f0.jpg,Chaetodon_blackburnii_Bishop_-410407509.jpg,yes,2026-02-05T12:22:43.482999,
Chaetodon blackburnii,Chaetodon_blackburnii_FishBase_Chbla_u1.jpg,Chaetodon_blackburnii_Bishop_1288243346.jpg,yes,2026-02-05T12:22:44.630087,
Chaetodon blackburnii,Chaetodon_blackburnii_FishBase_Chbla_u0.jpg,Chaetodon_blackburnii_Bishop_-410407509.jpg,yes,2026-02-05T12:25:08.002669,
Chaetodon blackburnii,Chaetodon_blackburnii_FishBase_Chbla_f0.jpg,Chaetodon_blackburnii_Bishop_300609141.jpg,yes,2026-02-05T12:25:08.807342,
Chaetodon blackburnii,Chaetodon_blackburnii_FishBase_Chbla_f0.jpg,Chaetodon_blackburnii_Bishop_1288243346.jpg,no,2026-02-05T12:29:56.288409,
Chaetodon blackburnii,Chaetodon_blackburnii_FishBase_Chbla_u1.jpg,Chaetodon_blackburnii_Bishop_-410407509.jpg,no,2026-02-05T12:30:20.385605,
Chaetodon blackburnii,Chaetodon_blackburnii_FishBase_Chbla_u0.jpg,Chaetodon_blackburnii_Bishop_1288243346.jpg,no,2026-02-05T12:32:41.511458,
Chaetodon blackburnii,Chaetodon_blackburnii_FishBase_Chbla_u1.jpg,Chaetodon_blackburnii_Bishop_300609141.jpg,no,2026-02-05T12:32:44.018955,
Chaetodon citrinellus,Chaetodon_citrinellus_FishBase_Chcit_u5.jpg,Chaetodon_citrinellus_Bishop_-1937929700.jpg,yes,2026-02-05T12:22:45.903073,
Chaetodon citrinellus,Chaetodon_citrinellus_FishBase_Chcit_u2.jpg,Chaetodon_citrinellus_Bishop_520787921.jpg,yes,2026-02-05T12:23:51.330711,
Chaetodon citrinellus,Chaetodon_citrinellus_FishBase_Chcit_u1.jpg,Chaetodon_citrinellus_Bishop_-1191499504.jpg,yes,2026-02-05T12:24:44.493867,
Chaetodon citrinellus,Chaetodon_citrinellus_FishBase_Chcit_u3.jpg,Chaetodon_citrinellus_Bishop_-1736280642.jpg,yes,2026-02-05T12:24:45.323477,
Chaetodon citrinellus,Chaetodon_citrinellus_FishBase_Chcit_u4.jpg,Chaetodon_citrinellus_Bishop_1043818087.jpg,yes,2026-02-05T12:27:05.232936,
Chaetodon citrinellus,Chaetodon_citrinellus_FishBase_Chcit_u2.jpg,Chaetodon_citrinellus_Bishop_1043818087.jpg,no,2026-02-05T12:31:20.295031,
Chaetodon citrinellus,Chaetodon_citrinellus_FishBase_Chcit_u4.jpg,Chaetodon_citrinellus_Bishop_520787921.jpg,no,2026-02-05T12:31:22.027037,
Chaetodon citrinellus,Chaetodon_citrinellus_FishBase_Chcit_u3.jpg,Chaetodon_citrinellus_Bishop_-1191499504.jpg,no,2026-02-05T12:36:06.100799,
Chaetodon citrinellus,Chaetodon_citrinellus_FishBase_Chcit_u1.jpg,Chaetodon_citrinellus_Bishop_-1937929700.jpg,no,2026-02-05T12:37:27.968631,
Chaetodon citrinellus,Chaetodon_citrinellus_FishBase_Chcit_u4.jpg,Chaetodon_citrinellus_Bishop_-1736280642.jpg,no,2026-02-05T12:37:29.119045,
Chaetodon citrinellus,Chaetodon_citrinellus_FishBase_Chcit_u5.jpg,Chaetodon_citrinellus_Bishop_-1191499504.jpg,no,2026-02-05T12:37:30.189165,
Chaetodon citrinellus,Chaetodon_citrinellus_FishBase_Chcit_u5.jpg,Chaetodon_citrinellus_Bishop_-1736280642.jpg,no,2026-02-05T12:37:31.690139,
Chaetodon collare,Chaetodon_collare_FishBase_Chcol_u2.jpg,Chaetodon_collare_Bishop_1403678122.jpg,yes,2026-02-05T12:22:48.301288,
Chaetodon collare,Chaetodon_collare_FishBase_Chcol_u3.jpg,Chaetodon_collare_Bishop_1999007469.jpg,yes,2026-02-05T12:23:52.118590,
