species,fishbase_file,bishop_file,phash_distance,dhash_distance,min_distance,confidence
Coradion melanopus,Coradion_melanopus_FishBase_Comel_u2.jpg,Coradion_melanopus_Bishop_1537514406.jpg,0,0,0,high
Forcipiger flavissimus,Forcipiger_flavissimus_FishBase_Fofla_u3.jpg,Forcipiger_flavissimus_Bishop_-1224605166.jpg,0,6,0,high
Forcipiger longirostris,Forcipiger_longirostris_FishBase_Folon_u2.jpg,Forcipiger_longirostris_Bishop_545316689.jpg,0,0,0,high
Hemitaurichthys zoster,Hemitaurichthys_zoster_FishBase_Hezos_u0.jpg,Hemitaurichthys_zoster_Bishop_1598828141.jpg,0,0,0,high
Heniochus acuminatus,Heniochus_acuminatus_FishBase_Heacu_u1.jpg,Heniochus_acuminatus_Bishop_1965411939.jpg,0,3,0,high
Heniochus acuminatus,Heniochus_acuminatus_FishBase_Heacu_u2.jpg,Heniochus_acuminatus_Bishop_2027043176.jpg,0,7,0,high
Heniochus chrysostomus,Heniochus_chrysostomus_FishBase_Hechr_u0.jpg,Heniochus_chrysostomus_Bishop_1854375753.jpg,0,0,0,high
Heniochus diphreutes,Heniochus_diphreutes_FishBase_Hedip_u2.jpg,Heniochus_diphreutes_Bishop_1453219286.jpg,0,5,0,high
Heniochus intermedius,Heniochus_intermedius_FishBase_Heint_u1.jpg,Heniochus_intermedius_Bishop_-20578450.jpg,0,6,0,high
Heniochus monoceros,Heniochus_monoceros_FishBase_Hemon_u2.jpg,Heniochus_monoceros_Bishop_1235534495.jpg,0,1,0,high
Heniochus monoceros,Heniochus_monoceros_FishBase_Hemon_u3.jpg,Heniochus_monoceros_Bishop_-980348940.jpg,0,5,0,high
Heniochus monoceros,Heniochus_monoceros_FishBase_Hemon_u4.jpg,Heniochus_monoceros_Bishop_1205143013.jpg,1,0,0,high
Heniochus pleurotaenia,Heniochus_pleurotaenia_FishBase_Heple_u0.jpg,Heniochus_pleurotaenia_Bishop_-1006778558.jpg,0,2,0,high
Heniochus singularius,Heniochus_singularius_FishBase_Hesin_u1.jpg,Heniochus_singularius_Bishop_1959970624.jpg,0,1,0,high
Heniochus singularius,Heniochus_singularius_FishBase_Hesin_u3.jpg,Heniochus_singularius_Bishop_2065781403.jpg,0,2,0,high
Chaetodon argentatus,Chaetodon_argentatus_FishBase_Charg_u2.jpg,Chaetodon_argentatus_Bishop_1074668308.jpg,1,4,1,high
Chaetodon auriga,Chaetodon_auriga_FishBase_Chaur_u6.jpg,Chaetodon_auriga_Bishop_1449897185.jpg,1,6,1,high
Chaetodon austriacus,Chaetodon_austriacus_FishBase_Chaus_u1.jpg,Chaetodon_austriacus_Bishop_-1737564550.jpg,1,4,1,high
Chaetodon baronessa,Chaetodon_baronessa_FishBase_Chbar_u3.jpg,Chaetodon_baronessa_Bishop_1152880952.jpg,1,3,1,high
Chaetodon bennetti,Chaetodon_bennetti_FishBase_Chben_u2.jpg,Chaetodon_bennetti_Bishop_711591108.jpg,1,7,1,high
Chaetodon citrinellus,Chaetodon_citrinellus_FishBase_Chcit_u2.jpg,Chaetodon_citrinellus_Bishop_520787921.jpg,1,2,1,high
Chaetodon collare,Chaetodon_collare_FishBase_Chcol_u3.jpg,Chaetodon_collare_Bishop_1999007469.jpg,1,3,1,high
Chaetodon dialeucos,Chaetodon_dialeucos_FishBase_Chdia_u0.jpg,Chaetodon_dialeucos_Bishop_1297085044.jpg,1,3,1,high
Chaetodon dolosus,Chaetodon_dolosus_FishBase_Chdol_u1.jpg,Chaetodon_dolosus_Bishop_-1008609691.jpg,1,2,1,high
Chaetodon ephippium,Chaetodon_ephippium_FishBase_Cheph_u5.jpg,Chaetodon_ephippium_Bishop_-1248760382.jpg,1,1,1,high
Chaetodon falcula,Chaetodon_falcula_FishBase_Chfal_u1.jpg,Chaetodon_falcula_Bishop_1821335233.jpg,1,5,1,high
Chaetodon fasciatus,Chaetodon_fasciatus_FishBase_Chfas_u1.jpg,Chaetodon_fasciatus_Bishop_2100774615.jpg,1,3,1,high
Chaetodon flavocoronatus,Chaetodon_flavocoronatus_FishBase_Chfla_u5.jpg,Chaetodon_flavocoronatus_Bishop_-1261632291.jpg,1,7,1,high
Chaetodon gardineri,Chaetodon_gardineri_FishBase_Chgar_u1.jpg,Chaetodon_gardineri_Bishop_-1706450280.jpg,1,9,1,high
Chaetodon guentheri,Chaetodon_guentheri_FishBase_Chgue_u1.jpg,Chaetodon_guentheri_Bishop_-184146759.jpg,1,9,1,high
Chaetodon guttatissimus,Chaetodon_guttatissimus_FishBase_Chgut_u0.jpg,Chaetodon_guttatissimus_Bishop_-1623433841.jpg,1,13,1,high
Chaetodon lineolatus,Chaetodon_lineolatus_FishBase_Chlin_u2.jpg,Chaetodon_lineolatus_Bishop_1526268337.jpg,1,6,1,high
Chaetodon lineolatus,Chaetodon_lineolatus_FishBase_Chlin_u6.jpg,Chaetodon_lineolatus_Bishop_-879271097.jpg,1,6,1,high
Chaetodon lunulatus,Chaetodon_lunulatus_FishBase_Chlun_uc.jpg,Chaetodon_lunulatus_Bishop_1378116790.jpg,1,3,1,high
Chaetodon madagaskariensis,Chaetodon_madagaskariensis_FishBase_Chmad_u1.jpg,Chaetodon_madagaskariensis_Bishop_1210446292.jpg,1,5,1,high
Chaetodon marleyi,Chaetodon_marleyi_FishBase_Chmar_ua.jpg,Chaetodon_marleyi_Bishop_384825925.jpg,1,3,1,high
Chaetodon melapterus,Chaetodon_melapterus_FishBase_Chmel_u9.jpg,Chaetodon_melapterus_Bishop_690928567.jpg,2,1,1,high
Chaetodon melapterus,Chaetodon_melapterus_FishBase_Chmel_ua.jpg,Chaetodon_melapterus_Bishop_-738901426.jpg,1,1,1,high
Chaetodon mesoleucos,Chaetodon_mesoleucos_FishBase_Chmes_u0.jpg,Chaetodon_mesoleucos_Bishop_-899095560.jpg,1,2,1,high
Chaetodon miliaris,Chaetodon_miliaris_FishBase_Chmil_u1.jpg,Chaetodon_miliaris_Bishop_1720766063.jpg,1,6,1,high
Chaetodon mitratus,Chaetodon_mitratus_FishBase_Chmit_u1.jpg,Chaetodon_mitratus_Bishop_-777256060.jpg,2,1,1,high
Chaetodon octofasciatus,Chaetodon_octofasciatus_FishBase_Choct_u2.jpg,Chaetodon_octofasciatus_Bishop_1838436391.jpg,1,5,1,high
Chaetodon plebeius,Chaetodon_plebeius_FishBase_Chple_u3.jpg,Chaetodon_plebeius_Bishop_-243381367.jpg,1,5,1,high
Chaetodon plebeius,Chaetodon_plebeius_FishBase_Chple_u4.jpg,Chaetodon_plebeius_Bishop_-531604202.jpg,1,1,1,high
Chaetodon rainfordi,Chaetodon_rainfordi_FishBase_Chrai_u0.jpg,Chaetodon_rainfordi_Bishop_-805104421.jpg,1,3,1,high
Chaetodon tinkeri,Chaetodon_tinkeri_FishBase_Chtin_u0.jpg,Chaetodon_tinkeri_Bishop_-408146097.jpg,1,4,1,high
Chaetodon trifascialis,Chaetodon_trifascialis_FishBase_Chtri_u7.jpg,Chaetodon_trifascialis_Bishop_-500274613.jpg,1,3,1,high
Chaetodon trifasciatus,Chaetodon_trifasciatus_FishBase_Chtri_uc.jpg,Chaetodon_trifasciatus_Bishop_-781709008.jpg,1,8,1,high
Chaetodon wiebeli,Chaetodon_wiebeli_FishBase_Chwie_u1.jpg,Chaetodon_wiebeli_Bishop_532247427.jpg,1,2,1,high
Chaetodon xanthocephalus,Chaetodon_xanthocephalus_FishBase_Chxan_u5.jpg,Chaetodon_xanthocephalus_Bishop_-1021247480.jpg,1,1,1,high
Chelmon marginalis,Chelmon_marginalis_FishBase_Chmar_u2.jpg,Chelmon_marginalis_Bishop_24220165.jpg,1,1,1,high
Chelmon marginalis,Chelmon_marginalis_FishBase_Chmar_u5.jpg,Chelmon_marginalis_Bishop_-336691052.jpg,7,1,1,high
Chelmonops truncatus,Chelmonops_truncatus_FishBase_Chtru_u1.jpg,Chelmonops_truncatus_Bishop_-473926281.jpg,1,1,1,high
Coradion altivelis,Coradion_altivelis_FishBase_Coalt_u1.jpg,Coradion_altivelis_Bishop_1025347564.jpg,4,1,1,high
Coradion chrysozonus,Coradion_chrysozonus_FishBase_Cochr_u1.jpg,Coradion_chrysozonus_Bishop_-1821725095.jpg,1,6,1,high
Coradion chrysozonus,Coradion_chrysozonus_FishBase_Cochr_u4.jpg,Coradion_chrysozonus_Bishop_1721541363.jpg,1,3,1,high
Coradion melanopus,Coradion_melanopus_FishBase_Comel_u0.jpg,Coradion_melanopus_Bishop_1397670468.jpg,1,22,1,high
Forcipiger flavissimus,Forcipiger_flavissimus_FishBase_Fofla_u4.jpg,Forcipiger_flavissimus_Bishop_-1548318421.jpg,1,10,1,high
Heniochus acuminatus,Heniochus_acuminatus_FishBase_Heacu_u4.jpg,Heniochus_acuminatus_Bishop_1817843498.jpg,1,2,1,high
Heniochus varius,Heniochus_varius_FishBase_Hevar_u2.jpg,Heniochus_varius_Bishop_2014348865.jpg,1,7,1,high
Chaetodon auriga,Chaetodon_auriga_FishBase_Chaur_u9.jpg,Chaetodon_auriga_Bishop_1547714619.jpg,2,7,2,high
Chaetodon baronessa,Chaetodon_baronessa_FishBase_Chbar_u0.jpg,Chaetodon_baronessa_Bishop_-2122794458.jpg,2,8,2,high
Chaetodon baronessa,Chaetodon_baronessa_FishBase_Chbar_u1.jpg,Chaetodon_baronessa_Bishop_918345433.jpg,2,3,2,high
Chaetodon daedalma,Chaetodon_daedalma_FishBase_Chdae_u1.jpg,Chaetodon_daedalma_Bishop_1811677923.jpg,2,4,2,high
Chaetodon flavocoronatus,Chaetodon_flavocoronatus_FishBase_Chfla_u4.jpg,Chaetodon_flavocoronatus_Bishop_-1599575846.jpg,2,2,2,high
Chaetodon kleinii,Chaetodon_kleinii_FishBase_Chkle_u1.jpg,Chaetodon_kleinii_Bishop_-1577854379.jpg,5,2,2,high
Chaetodon kleinii,Chaetodon_kleinii_FishBase_Chkle_u4.jpg,Chaetodon_kleinii_Bishop_977649394.jpg,4,2,2,high
Chaetodon lunula,Chaetodon_lunula_FishBase_Chlun_u7.jpg,Chaetodon_lunula_Bishop_-530805309.jpg,2,7,2,high
Chaetodon miliaris,Chaetodon_miliaris_FishBase_Chmil_u2.jpg,Chaetodon_miliaris_Bishop_725437158.jpg,4,2,2,high
Chaetodon ocellicaudus,Chaetodon_ocellicaudus_FishBase_Choce_u4.jpg,Chaetodon_ocellicaudus_Bishop_958979710.jpg,2,5,2,high
Chaetodon punctatofasciatus,Chaetodon_punctatofasciatus_FishBase_Chpun_u3.jpg,Chaetodon_punctatofasciatus_Bishop_1458053428.jpg,3,2,2,high
Chaetodon smithi,Chaetodon_smithi_FishBase_Chsmi_u1.jpg,Chaetodon_smithi_Bishop_-608924262.jpg,2,12,2,high
Chaetodon trifascialis,Chaetodon_trifascialis_FishBase_Chtri_u4.jpg,Chaetodon_trifascialis_Bishop_-1790297166.jpg,2,3,2,high
Chaetodon ulietensis,Chaetodon_ulietensis_FishBase_Chuli_u1.jpg,Chaetodon_ulietensis_Bishop_-201975074.jpg,2,5,2,high
Forcipiger longirostris,Forcipiger_longirostris_FishBase_Folon_u0.jpg,Forcipiger_longirostris_Bishop_2048048784.jpg,2,3,2,high
Hemitaurichthys multispinosus,Hemitaurichthys_multispinosus_FishBase_Hemul_u0.jpg,Hemitaurichthys_multispinosus_Bishop_1514469863.jpg,2,2,2,high
Parachaetodon ocellatus,Parachaetodon_ocellatus_FishBase_Paoce_u2.jpg,Parachaetodon_ocellatus_Bishop_-154342580.jpg,2,8,2,high
Amphichaetodon howensis,Amphichaetodon_howensis_FishBase_Amhow_u1.jpg,Amphichaetodon_howensis_Bishop_472868867.jpg,3,19,3,high
