filename,species,directory,mean_L,mean_a,mean_b,std_L,std_a,std_b,distance,distance_method,species_n_images,distance_zscore,flag_color_outlier,flag_small_mask,flag_large_mask,flag_luminance,n_flags,suggested_action
Chaetodon_adiergastos_FishBase_Chadi_u3.jpg,Chaetodon adiergastos,images_fishbase_extra,66.88,-9.61,23.83,22.96,6.74,25.71,1.778,mahalanobis,16,-1.196,no,yes,no,no,1,review
Chaetodon_adiergastos_FishBase_Chadi_u4.jpg,Chaetodon adiergastos,images_fishbase_extra,29.17,-0.33,5.66,23.59,7.39,21.93,3.085,mahalanobis,16,1.652,no,no,no,yes,1,review
Chaetodon_adiergastos_iNaturalist_18099243.jpg,Chaetodon adiergastos,images_inaturalist,71.16,2.96,18.34,23.04,7.01,28.62,2.248,mahalanobis,16,-0.172,no,no,no,no,0,ok
Chaetodon_adiergastos_iNaturalist_19737434.jpg,Chaetodon adiergastos,images_inaturalist,65.33,-11.07,11.83,12.52,3.89,17.38,2.423,mahalanobis,16,0.208,no,no,yes,no,1,review
Chaetodon_adiergastos_iNaturalist_264257791.jpg,Chaetodon adiergastos,images_inaturalist,60.59,-28.57,23.55,8.63,3.33,13.6,2.874,mahalanobis,16,1.191,no,no,no,no,0,ok
Chaetodon_adiergastos_iNaturalist_275485797.jpg,Chaetodon adiergastos,images_inaturalist,51.16,-8.68,9.34,12.87,8.1,22.3,2.261,mahalanobis,16,-0.144,no,no,no,no,0,ok
Chaetodon_adiergastos_iNaturalist_312479934.jpg,Chaetodon adiergastos,images_inaturalist,58.13,-4.12,11.8,21.36,6.5,23.89,1.234,mahalanobis,16,-2.38,no,no,no,no,0,ok
Chaetodon_adiergastos_iNaturalist_341061286.jpg,Chaetodon adiergastos,images_inaturalist,41.0,3.37,21.01,18.55,5.09,18.27,2.555,mahalanobis,16,0.498,no,no,yes,no,1,review
Chaetodon_adiergastos_iNaturalist_432980114.jpg,Chaetodon adiergastos,images_inaturalist,56.19,-15.47,24.24,13.07,5.04,24.13,2.065,mahalanobis,16,-0.57,no,no,no,no,0,ok
Chaetodon_adiergastos_iNaturalist_468973634.jpg,Chaetodon adiergastos,images_inaturalist,35.54,-0.76,5.61,18.67,8.45,17.7,2.315,mahalanobis,16,-0.026,no,no,no,no,0,ok
Chaetodon_adiergastos_iNaturalist_556364227.jpg,Chaetodon adiergastos,images_inaturalist,68.45,0.59,23.4,24.88,5.77,29.79,2.242,mahalanobis,16,-0.185,no,no,no,no,0,ok
Chaetodon_andamanensis_FishPix_88987AF.jpg,Chaetodon andamanensis,images,88.05,-13.88,70.56,21.53,8.31,23.62,1.726,mahalanobis,12,-1.29,no,no,no,no,0,ok
Chaetodon_andamanensis_Bishop_-322272266.jpg,Chaetodon andamanensis,images_bishop,44.2,2.25,30.14,19.37,2.95,13.78,1.873,mahalanobis,12,-0.962,no,no,no,no,0,ok
Chaetodon_andamanensis_FishBase_Chand_j0.jpg,Chaetodon andamanensis,images_fishbase_extra,84.13,-3.47,41.72,20.46,10.9,35.49,3.065,mahalanobis,12,1.708,no,no,no,no,0,ok
Chaetodon_andamanensis_FishBase_Chand_u0.jpg,Chaetodon andamanensis,images_fishbase_extra,44.62,2.25,30.18,20.37,3.38,14.45,1.922,mahalanobis,12,-0.851,no,no,no,no,0,ok
Chaetodon_andamanensis_FishBase_Chand_u1.jpg,Chaetodon andamanensis,images_fishbase_extra,61.95,-7.7,50.68,22.59,14.37,26.96,2.352,mahalanobis,12,0.11,no,no,no,no,0,ok
Chaetodon_andamanensis_iNaturalist_173829490.jpg,Chaetodon andamanensis,images_inaturalist,40.38,-12.45,30.4,8.17,4.81,13.49,2.329,mahalanobis,12,0.06,no,no,no,no,0,ok
Chaetodon_andamanensis_iNaturalist_177672904.jpg,Chaetodon andamanensis,images_inaturalist,81.02,-19.51,58.94,19.3,3.43,19.91,1.984,mahalanobis,12,-0.713,no,yes,no,no,1,review
Chaetodon_andamanensis_iNaturalist_2532907.jpg,Chaetodon andamanensis,images_inaturalist,71.74,-28.89,70.31,11.33,16.27,13.78,2.99,mahalanobis,12,1.539,no,yes,no,no,1,review
Chaetodon_andamanensis_iNaturalist_309575002.jpg,Chaetodon andamanensis,images_inaturalist,61.61,-34.4,34.74,8.8,1.91,8.34,2.826,mahalanobis,12,1.173,no,no,no,no,0,ok
Chaetodon_andamanensis_iNaturalist_436938868.jpg,Chaetodon andamanensis,images_inaturalist,68.48,-7.42,53.9,15.46,2.52,13.9,1.772,mahalanobis,12,-1.187,no,no,yes,no,1,review
Chaetodon_andamanensis_iNaturalist_545241141.jpg,Chaetodon andamanensis,images_inaturalist,61.03,-24.83,56.69,11.49,7.01,18.37,2.415,mahalanobis,12,0.253,no,no,no,no,0,ok
