filename,species,directory,n_components,largest_component_frac,fragmentation_score,compactness,solidity,margin_bleed_frac,mask_fraction,species_median_mask_frac,mask_frac_ratio,center_offset,convex_hull_area,quality_score,flag_fragmented,flag_bg_inclusion,flag_small_mask,flag_margin_bleed,n_flags,recommended_action
Chaetodon_adiergastos_FishBase_Chadi_u3.jpg,Chaetodon adiergastos,images_fishbase_extra,1,1.0,0.0,1.0372,0.9972,0.0,0.0993,0.2329,0.4264,0.1684,27460,0.9318,no,no,no,no,0,ok
Chaetodon_adiergastos_FishBase_Chadi_u4.jpg,Chaetodon adiergastos,images_fishbase_extra,1,1.0,0.0,0.9802,0.9897,0.0,0.5102,0.2329,2.1906,0.084,143848,0.9373,no,no,no,no,0,ok
Chaetodon_adiergastos_FishPix_28455AF.jpg,Chaetodon adiergastos,images,1,1.0,0.0,0.8422,0.9835,0.0,0.2635,0.2329,1.1314,0.006,109743,0.9901,no,no,no,no,0,ok
Chaetodon_adiergastos_iNaturalist_18099243.jpg,Chaetodon adiergastos,images_inaturalist,1,1.0,0.0,0.763,0.9584,0.0,0.2159,0.2329,0.927,0.0908,157559,0.9939,no,no,no,no,0,ok
Chaetodon_adiergastos_iNaturalist_19737434.jpg,Chaetodon adiergastos,images_inaturalist,1,1.0,0.0,0.7869,0.9514,0.1541,0.5,0.2329,2.1468,0.1321,367524,0.9081,no,no,no,no,0,ok
Chaetodon_adiergastos_iNaturalist_264257791.jpg,Chaetodon adiergastos,images_inaturalist,1,1.0,0.0,1.0713,0.9924,0.0,0.1257,0.2329,0.5397,0.0312,99640,0.9507,no,no,no,no,0,ok
Chaetodon_adiergastos_iNaturalist_275485797.jpg,Chaetodon adiergastos,images_inaturalist,1,1.0,0.0,0.8425,0.9817,0.0,0.1648,0.2329,0.7076,0.0413,124092,0.9723,no,no,no,no,0,ok
Chaetodon_adiergastos_iNaturalist_312479934.jpg,Chaetodon adiergastos,images_inaturalist,1,1.0,0.0,0.7786,0.9648,0.0,0.1987,0.2329,0.8532,0.0999,172733,0.9873,no,no,no,no,0,ok
Chaetodon_adiergastos_iNaturalist_341061286.jpg,Chaetodon adiergastos,images_inaturalist,1,1.0,0.0,0.5289,0.9137,0.0,0.4503,0.2329,1.9334,0.0399,432448,0.9473,no,no,no,no,0,ok
Chaetodon_adiergastos_iNaturalist_432980114.jpg,Chaetodon adiergastos,images_inaturalist,1,1.0,0.0,1.0246,0.9952,0.0,0.1702,0.2329,0.7308,0.0703,140603,0.9749,no,no,no,no,0,ok
Chaetodon_adiergastos_iNaturalist_468973634.jpg,Chaetodon adiergastos,images_inaturalist,1,1.0,0.0,0.8841,0.9467,0.0,0.0707,0.2329,0.3036,0.0415,58731,0.9046,no,no,no,no,0,ok
Chaetodon_adiergastos_iNaturalist_556364227.jpg,Chaetodon adiergastos,images_inaturalist,1,1.0,0.0,0.8444,0.9822,0.0,0.2179,0.2329,0.9356,0.0239,155169,0.9947,no,no,no,no,0,ok
Chaetodon_andamanensis_Bishop_-322272266.jpg,Chaetodon andamanensis,images_bishop,1,1.0,0.0,0.4336,0.8949,0.0,0.5099,0.2944,1.7323,0.0277,260819,0.956,no,no,no,no,0,ok
Chaetodon_andamanensis_FishBase_Chand_j0.jpg,Chaetodon andamanensis,images_fishbase_extra,2,1.0,0.0,0.6866,0.9167,0.3216,0.5358,0.2944,1.8203,0.1767,159711,0.8878,no,yes,no,yes,2,resegment_dinosam
Chaetodon_andamanensis_FishBase_Chand_u0.jpg,Chaetodon andamanensis,images_fishbase_extra,1,1.0,0.0,0.4559,0.8989,0.0,0.509,0.2944,1.7292,0.0275,146015,0.9562,no,no,no,no,0,ok
Chaetodon_andamanensis_FishBase_Chand_u1.jpg,Chaetodon andamanensis,images_fishbase_extra,4,0.9995,0.0005,0.4776,0.9109,0.0536,0.3786,0.2944,1.2862,0.0991,115436,0.969,no,no,no,no,0,ok
Chaetodon_andamanensis_FishPix_88987AF.jpg,Chaetodon andamanensis,images,1,1.0,0.0,1.0607,1.0063,0.0,0.3856,0.2944,1.31,0.033,156975,0.9784,no,no,no,no,0,ok
Chaetodon_andamanensis_iNaturalist_173829490.jpg,Chaetodon andamanensis,images_inaturalist,1,1.0,0.0,0.8336,0.9933,0.0,0.1278,0.2944,0.4342,0.0759,101040,0.9333,no,no,no,no,0,ok
Chaetodon_andamanensis_iNaturalist_177672904.jpg,Chaetodon andamanensis,images_inaturalist,1,1.0,0.0,0.8089,0.9209,0.0,0.0216,0.2944,0.0734,0.0675,17756,0.791,no,no,yes,no,1,review
Chaetodon_andamanensis_iNaturalist_2532907.jpg,Chaetodon andamanensis,images_inaturalist,1,1.0,0.0,1.0002,1.0025,0.0,0.161,0.2944,0.547,0.095,32725,0.9517,no,no,no,no,0,ok
Chaetodon_andamanensis_iNaturalist_309575002.jpg,Chaetodon andamanensis,images_inaturalist,1,1.0,0.0,1.1045,1.0052,0.0,0.1138,0.2944,0.3866,0.0643,82610,0.924,no,no,no,no,0,ok
Chaetodon_andamanensis_iNaturalist_436938868.jpg,Chaetodon andamanensis,images_inaturalist,1,1.0,0.0,0.7804,0.9659,0.0,0.5222,0.2944,1.7741,0.0303,370953,0.9541,no,no,no,no,0,ok
Chaetodon_andamanensis_iNaturalist_545241141.jpg,Chaetodon andamanensis,images_inaturalist,1,1.0,0.0,1.0029,0.9904,0.0,0.0906,0.2944,0.3078,0.1135,71962,0.9057,no,no,no,no,0,ok
Chaetodon_andamanensis_iNaturalist_68351989.jpg,Chaetodon andamanensis,images_inaturalist,1,1.0,0.0,0.8822,0.9802,0.0,0.2101,0.2944,0.7138,0.1074,168531,0.973,no,no,no,no,0,ok
Chaetodon_argentatus_Bishop_1074668308.jpg,Chaetodon argentatus,images_bishop,1,1.0,0.0,0.4558,0.8254,0.0,0.4434,0.2263,1.9593,0.0288,224044,0.9388,no,no,no,no,0,ok
Chaetodon_argentatus_FishBase_Charg_u0.jpg,Chaetodon argentatus,images_fishbase_extra,1,1.0,0.0,0.4446,0.8515,0.0,0.369,0.2263,1.6306,0.04,120085,0.9609,no,no,no,no,0,ok
Chaetodon_argentatus_FishBase_Charg_u2.jpg,Chaetodon argentatus,images_fishbase_extra,2,1.0,0.0,0.4449,0.8302,0.0,0.4421,0.2263,1.9536,0.029,124577,0.9405,no,no,no,no,0,ok
Chaetodon_argentatus_FishBase_Charg_u3.jpg,Chaetodon argentatus,images_fishbase_extra,2,0.9998,0.0002,0.6079,0.8865,0.0,0.2627,0.2263,1.1608,0.0375,84913,0.988,no,no,no,no,0,ok
Chaetodon_argentatus_FishBase_Charg_ua.jpg,Chaetodon argentatus,images_fishbase_extra,1,1.0,0.0,0.5503,0.861,0.0,0.3317,0.2263,1.4658,0.0358,118113,0.9694,no,no,no,no,0,ok
Chaetodon_argentatus_FishPix_2068AF.jpg,Chaetodon argentatus,images,1,1.0,0.0,0.3921,0.8674,0.0,0.2987,0.2263,1.3199,0.0061,141021,0.9778,no,no,no,no,0,ok
Chaetodon_argentatus_iNaturalist_263052559.jpg,Chaetodon argentatus,images_inaturalist,2,0.642,0.358,0.8511,0.573,0.121,0.3159,0.2263,1.3959,0.1159,130180,0.7407,no,yes,no,no,1,review
Chaetodon_argentatus_iNaturalist_263052573.jpg,Chaetodon argentatus,images_inaturalist,2,0.7553,0.2447,0.9051,0.5555,0.0855,0.1466,0.2263,0.6478,0.3246,68691,0.7742,no,yes,no,no,1,review
Chaetodon_argentatus_iNaturalist_302749246.jpg,Chaetodon argentatus,images_inaturalist,1,1.0,0.0,0.6568,0.9217,0.0,0.0101,0.2263,0.0446,0.0705,8581,0.76,no,no,yes,no,1,review
Chaetodon_argentatus_iNaturalist_304051728.jpg,Chaetodon argentatus,images_inaturalist,1,1.0,0.0,0.9235,0.9722,0.0,0.0153,0.2263,0.0676,0.1088,12399,0.7845,no,no,yes,no,1,review
