species,gestalt_k,review_status,notes,reviewed_at
Amphichaetodon howensis,3,reviewed,,2026-02-08T17:21:27.293021
Amphichaetodon melbae,4,reviewed,,2026-02-08T18:04:32.367369
Chaetodon adiergastos,4,reviewed,,2026-02-08T18:07:56.160150
Chaetodon andamanensis,3,reviewed,Constrained from k=2 to k=3 for valid Jt metric,2026-02-08T18:10:05.763932
Chaetodon argentatus,3,reviewed,Constrained from k=2 to k=3 for valid Jt metric,2026-02-08T18:13:31.920082
Chaetodon assarius,3,reviewed,,2026-02-08T18:14:34.968743
Chaetodon aureofasciatus,3,reviewed,,2026-02-08T18:27:41.893804
Chaetodon auriga,3,reviewed,,2026-02-08T18:27:26.291486
Chaetodon auripes,3,reviewed,,2026-02-08T18:27:18.184880
Chaetodon austriacus,3,reviewed,,2026-02-08T18:27:10.640639
Chaetodon baronessa,3,reviewed,,2026-02-08T18:31:04.108360
Chaetodon bennetti,3,reviewed,,2026-02-08T18:34:46.582850
Chaetodon blackburnii,3,reviewed,,2026-02-08T18:36:33.848156
Chaetodon burgessi,3,reviewed,Constrained from k=2 to k=3 for valid Jt metric,2026-02-08T18:39:32.916658
Chaetodon capistratus,4,reviewed,,2026-02-08T18:45:05.286347
Chaetodon citrinellus,3,in_progress,,2026-02-08T18:45:40.822119
Chaetodon collare,4,in_progress,,2026-02-08T20:14:12.510866
Chaetodon daedalma,3,not_reviewed,,2026-02-04T22:42:19.140345
Chaetodon declivis,4,reviewed,,2026-02-04T22:43:59.437718
Chaetodon decussatus,4,reviewed,,2026-02-04T22:49:17.807751
Chaetodon dialeucos,3,reviewed,,2026-02-04T22:50:03.370063
Chaetodon dolosus,4,reviewed,,2026-02-05T10:38:50.114139
Chaetodon ephippium,4,not_reviewed,Constrained from k=5 to k=4 for consistency,2026-02-05T12:44:20.768486
Chaetodon falcula,4,not_reviewed,,2026-02-05T12:45:15.718302
Chaetodon fasciatus,3,not_reviewed,,2026-02-05T12:47:05.716780
Chaetodon flavirostris,3,in_progress,,2026-02-08T21:28:17.480300
Chaetodon flavocoronatus,4,reviewed,,2026-02-08T21:30:48.174660
Chaetodon fremblii,4,not_reviewed,,2026-02-05T13:33:59.654675
Chaetodon gardineri,3,reviewed,,2026-02-05T13:48:05.072650
Chaetodon guentheri,4,not_reviewed,,2026-02-05T13:48:08.189897
Chaetodon guttatissimus,4,in_progress,,2026-02-07T08:55:36.284487
Chaetodon humeralis,3,in_progress,,2026-02-08T21:32:07.589628
Chaetodon interruptus,3,in_progress,,2026-02-08T21:32:15.783392
Chaetodon litus,3,in_progress,Constrained from k=2 to k=3 for valid Jt metric,2026-02-08T21:33:32.810747
Chaetodon lunulatus,3,in_progress,,2026-02-08T21:33:54.160993
Chaetodon marleyi,3,in_progress,,2026-02-08T21:34:22.654667
Chaetodon melapterus,3,in_progress,,2026-02-08T21:35:01.580444
