species,filename,png_name,source,selected_at
Johnrandallia nigrirostris,Johnrandallia_nigrirostris_FishBase_Jonig_u2.jpg,Johnrandallia_nigrirostris_FishBase_Jonig_u2.png,FishBase,2026-02-08T19:53:25.776537
Parachaetodon ocellatus,Parachaetodon_ocellatus_FishBase_Paoce_u3.jpg,Parachaetodon_ocellatus_FishBase_Paoce_u3.png,FishBase,2026-02-08T19:51:59.264718
Prognathodes aculeatus,Prognathodes_aculeatus_FishBase_Pracu_u0.jpg,Prognathodes_aculeatus_FishBase_Pracu_u0.png,FishBase,2026-02-08T19:27:54.467035
Prognathodes aya,Prognathodes_aya_FishBase_Praya_u0.jpg,Prognathodes_aya_FishBase_Praya_u0.png,FishBase,2026-02-08T19:28:31.080566
Prognathodes brasiliensis,Prognathodes_brasiliensis_FishBase_Prbra_u1.jpg,Prognathodes_brasiliensis_FishBase_Prbra_u1.png,FishBase,2026-02-08T19:29:06.824959
Prognathodes carlhubbsi,Prognathodes_carlhubbsi_FishBase_Prcar_u2.jpg,Prognathodes_carlhubbsi_FishBase_Prcar_u2.png,FishBase,2026-02-08T19:29:48.608697
Prognathodes dichrous,Prognathodes_dichrous_FishBase_Prdic_u0.jpg,Prognathodes_dichrous_FishBase_Prdic_u0.png,FishBase,2026-02-08T19:24:47.984160
Prognathodes falcifer,Prognathodes_falcifer_iNaturalist_562177068.jpg,Prognathodes_falcifer_iNaturalist_562177068.png,iNat,2026-02-08T19:20:35.876136
Prognathodes guyanensis,Prognathodes_guyanensis_FishBase_Prguy_u2.jpg,Prognathodes_guyanensis_FishBase_Prguy_u2.png,FishBase,2026-02-08T19:18:53.579652
Prognathodes marcellae,Prognathodes_marcellae_iNaturalist_273249646.jpg,Prognathodes_marcellae_iNaturalist_273249646.png,iNat,2026-02-08T19:17:50.716536
Prognathodes obliquus,Prognathodes_obliquus_FishBase_Chobl_u1.jpg,Prognathodes_obliquus_FishBase_Chobl_u1.png,FishBase,2026-02-08T19:16:34.692638
Roa australis,Roa_australis_FishBase_Roaus_u0.jpg,Roa_australis_FishBase_Roaus_u0.png,FishBase,2026-02-08T18:49:49.706981
Roa excelsa,Roa_excelsa_FishBase_Chexc_u0.jpg,Roa_excelsa_FishBase_Chexc_u0.png,FishBase,2026-02-08T18:49:26.281507
Roa jayakari,Roa_jayakari_FishBase_Chjay_u0.jpg,Roa_jayakari_FishBase_Chjay_u0.png,FishBase,2026-02-08T18:48:51.223259
Roa modesta,Roa_modesta_FishBase_Chmod_u1.jpg,Roa_modesta_FishBase_Chmod_u1.png,FishBase,2026-02-08T18:46:48.249067
