"sp1","sp2","color_dissimilarity","sp1_m","sp2_m","sp1_Jc","sp2_Jc","both_have_data"
"Amphichaetodon howensis","Amphichaetodon melbae",0.35025002545485,0.0872158117977528,0.0804966319657073,0.555383843015277,0.355118479528776,TRUE
"Chelmon muelleri","Chelmon rostratus",0.400215627367458,0.131166666666667,0.074872606741573,0.996623881234325,0.816057808830489,TRUE
"Coradion altivelis","Coradion melanopus",0.307328503791386,0.153255254901961,0.116239492063492,0.695721561157456,0.883346233793841,TRUE
"Hemitaurichthys polylepis","Hemitaurichthys zoster",0.260181015124757,0.0824979598393574,0.0426136286998876,0.843758943275271,0.610259096500976,TRUE
"Heniochus pleurotaenia","Heniochus varius",0.657186414070272,0.109423611111111,0.0414736507936508,0.794853283590145,0.321406902231446,TRUE
