species,pic_id,original_filename,local_filename,url,family,in_miyazawa,download_status,file_size
Unknown,84195,84195AF.jpg,Unknown_FishPix_84195.jpg,https://fishpix.kahaku.go.jp/photos/NR0084/84195AF.jpg,Chaetodontidae,no,success,78505
Chaetodon daedalma,842,842AF.jpg,Chaetodon_daedalma_FishPix_842.jpg,https://fishpix.kahaku.go.jp/photos/NR0000/842AF.jpg,Chaetodontidae,no,success,142053
Chaetodon kleinii,84205,84205AF.jpg,Chaetodon_kleinii_FishPix_84205.jpg,https://fishpix.kahaku.go.jp/photos/NR0084/84205AF.jpg,Chaetodontidae,no,success,96627
Chaetodon bennetti,84208,84208AF.jpg,Chaetodon_bennetti_FishPix_84208.jpg,https://fishpix.kahaku.go.jp/photos/NR0084/84208AF.jpg,Chaetodontidae,no,success,67446
Chaetodon kleinii,84211,84211AF.jpg,Chaetodon_kleinii_FishPix_84211.jpg,https://fishpix.kahaku.go.jp/photos/NR0084/84211AF.jpg,Chaetodontidae,no,success,89253
Chaetodon rafflesii,84214,84214AF.jpg,Chaetodon_rafflesii_FishPix_84214.jpg,https://fishpix.kahaku.go.jp/photos/NR0084/84214AF.jpg,Chaetodontidae,no,success,95062
Unknown,84216,84216AF.jpg,Unknown_FishPix_84216.jpg,https://fishpix.kahaku.go.jp/photos/NR0084/84216AF.jpg,Chaetodontidae,no,success,109717
Heniochus chrysostomus,84270,84270AF.jpg,Heniochus_chrysostomus_FishPix_84270.jpg,https://fishpix.kahaku.go.jp/photos/NR0084/84270AF.jpg,Chaetodontidae,no,success,67177
Chaetodon speculum,84274,84274AF.jpg,Chaetodon_speculum_FishPix_84274.jpg,https://fishpix.kahaku.go.jp/photos/NR0084/84274AF.jpg,Chaetodontidae,no,success,114304
Chaetodon daedalma,843,843AF.jpg,Chaetodon_daedalma_FishPix_843.jpg,https://fishpix.kahaku.go.jp/photos/NR0000/843AF.jpg,Chaetodontidae,no,success,137799
Heniochus diphreutes,8433,8433AF.jpg,Heniochus_diphreutes_FishPix_8433.jpg,https://fishpix.kahaku.go.jp/photos/NR0008/8433AF.jpg,Chaetodontidae,no,success,17408
Chaetodon kleinii,8434,8434AF.jpg,Chaetodon_kleinii_FishPix_8434.jpg,https://fishpix.kahaku.go.jp/photos/NR0008/8434AF.jpg,Chaetodontidae,no,success,21504
Chaetodon auriga,84448,84448AF.jpg,Chaetodon_auriga_FishPix_84448.jpg,https://fishpix.kahaku.go.jp/photos/NR0084/84448AF.jpg,Chaetodontidae,no,success,53343
Chaetodon vagabundus,84470,84470AF.jpg,Chaetodon_vagabundus_FishPix_84470.jpg,https://fishpix.kahaku.go.jp/photos/NR0084/84470AF.jpg,Chaetodontidae,no,success,48507
Chaetodon auripes,84483,84483AF.jpg,Chaetodon_auripes_FishPix_84483.jpg,https://fishpix.kahaku.go.jp/photos/NR0084/84483AF.jpg,Chaetodontidae,no,success,29550
Unknown,84499,84499AF.jpg,Unknown_FishPix_84499.jpg,https://fishpix.kahaku.go.jp/photos/NR0084/84499AF.jpg,Chaetodontidae,no,success,32605
Chaetodon speculum,84788,84788AF.jpg,Chaetodon_speculum_FishPix_84788.jpg,https://fishpix.kahaku.go.jp/photos/NR0084/84788AF.jpg,Chaetodontidae,no,success,61791
Chaetodon lunulatus,84835,84835AF.jpg,Chaetodon_lunulatus_FishPix_84835.jpg,https://fishpix.kahaku.go.jp/photos/NR0084/84835AF.jpg,Chaetodontidae,no,success,104628
Chaetodon lineolatus,84836,84836AF.jpg,Chaetodon_lineolatus_FishPix_84836.jpg,https://fishpix.kahaku.go.jp/photos/NR0084/84836AF.jpg,Chaetodontidae,no,success,92911
Chaetodon ulietensis,84837,84837AF.jpg,Chaetodon_ulietensis_FishPix_84837.jpg,https://fishpix.kahaku.go.jp/photos/NR0084/84837AF.jpg,Chaetodontidae,no,success,77471
Chaetodon speculum,84838,84838AF.jpg,Chaetodon_speculum_FishPix_84838.jpg,https://fishpix.kahaku.go.jp/photos/NR0084/84838AF.jpg,Chaetodontidae,no,success,43861
Chaetodon plebeius,84839,84839AF.jpg,Chaetodon_plebeius_FishPix_84839.jpg,https://fishpix.kahaku.go.jp/photos/NR0084/84839AF.jpg,Chaetodontidae,no,success,64409
Unknown,84921,84921AF.jpg,Unknown_FishPix_84921.jpg,https://fishpix.kahaku.go.jp/photos/NR0084/84921AF.jpg,Chaetodontidae,no,success,64146
Chaetodon melannotus,84922,84922AF.jpg,Chaetodon_melannotus_FishPix_84922.jpg,https://fishpix.kahaku.go.jp/photos/NR0084/84922AF.jpg,Chaetodontidae,no,success,65811
Chaetodon meyeri,84969,84969AF.jpg,Chaetodon_meyeri_FishPix_84969.jpg,https://fishpix.kahaku.go.jp/photos/NR0084/84969AF.jpg,Chaetodontidae,no,success,103356
Chaetodon reticulatus,84970,84970AF.jpg,Chaetodon_reticulatus_FishPix_84970.jpg,https://fishpix.kahaku.go.jp/photos/NR0084/84970AF.jpg,Chaetodontidae,no,success,106299
Unknown,85023,85023AF.jpg,Unknown_FishPix_85023.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85023AF.jpg,Chaetodontidae,no,success,79315
Chaetodon semeion,85083,85083AF.jpg,Chaetodon_semeion_FishPix_85083.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85083AF.jpg,Chaetodontidae,no,success,72994
Unknown,85084,85084AF.jpg,Unknown_FishPix_85084.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85084AF.jpg,Chaetodontidae,no,success,71921
Chaetodon burgessi,85085,85085AF.jpg,Chaetodon_burgessi_FishPix_85085.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85085AF.jpg,Chaetodontidae,no,success,63414
Chaetodon declivis,85086,85086AF.jpg,Chaetodon_declivis_FishPix_85086.jpg,https://fishpix.kahaku.go.jp/photos/NR0085/85086AF.jpg,Chaetodontidae,no,success,56633
