species,pic_id,original_filename,local_filename,url,family,in_miyazawa,download_status,file_size
Chaetodon vagabundus,10004,10004AF.jpg,Chaetodon_vagabundus_FishPix_10004.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10004AF.jpg,Chaetodontidae,yes,success,23552
Chaetodon rafflesii,10012,10012AF.jpg,Chaetodon_rafflesii_FishPix_10012.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10012AF.jpg,Chaetodontidae,yes,success,28672
Coradion melanopus,10029,10029AF.jpg,Coradion_melanopus_FishPix_10029.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10029AF.jpg,Chaetodontidae,yes,success,21504
Chaetodon ornatissimus,10043,10043AF.jpg,Chaetodon_ornatissimus_FishPix_10043.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10043AF.jpg,Chaetodontidae,yes,success,27648
Chaetodon bennetti,10061,10061AF.jpg,Chaetodon_bennetti_FishPix_10061.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10061AF.jpg,Chaetodontidae,no,success,19456
Chaetodon punctatofasciatus,10063,10063AF.jpg,Chaetodon_punctatofasciatus_FishPix_10063.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10063AF.jpg,Chaetodontidae,yes,success,29696
Chaetodon argentatus,10095,10095AF.jpg,Chaetodon_argentatus_FishPix_10095.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10095AF.jpg,Chaetodontidae,no,success,24576
Chaetodon nippon,10165,10165AF.jpg,Chaetodon_nippon_FishPix_10165.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10165AF.jpg,Chaetodontidae,no,success,32768
Chaetodon auripes,10258,10258AF.jpg,Chaetodon_auripes_FishPix_10258.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10258AF.jpg,Chaetodontidae,no,success,30720
Chaetodon argentatus,10341,10341AF.jpg,Chaetodon_argentatus_FishPix_10341.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10341AF.jpg,Chaetodontidae,no,success,27648
Chaetodon reticulatus,10349,10349AF.jpg,Chaetodon_reticulatus_FishPix_10349.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10349AF.jpg,Chaetodontidae,no,success,29696
Chaetodon nippon,10409,10409AF.jpg,Chaetodon_nippon_FishPix_10409.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10409AF.jpg,Chaetodontidae,no,success,31744
Heniochus chrysostomus,10410,10410AF.jpg,Heniochus_chrysostomus_FishPix_10410.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10410AF.jpg,Chaetodontidae,no,success,41984
Chaetodon auriga,10431,10431AF.jpg,Chaetodon_auriga_FishPix_10431.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10431AF.jpg,Chaetodontidae,no,success,43008
Chaetodon auriga,10472,10472AF.jpg,Chaetodon_auriga_FishPix_10472.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10472AF.jpg,Chaetodontidae,no,success,21504
Chaetodon auripes,10473,10473AF.jpg,Chaetodon_auripes_FishPix_10473.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10473AF.jpg,Chaetodontidae,no,success,26624
Temminck et,10474,10474AF.jpg,Temminck_et_FishPix_10474.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10474AF.jpg,Chaetodontidae,no,success,22528
Chaetodon nippon,10475,10475AF.jpg,Chaetodon_nippon_FishPix_10475.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10475AF.jpg,Chaetodontidae,no,success,15360
Chaetodon trifascialis,10580,10580AF.jpg,Chaetodon_trifascialis_FishPix_10580.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10580AF.jpg,Chaetodontidae,no,success,100827
Chaetodon melannotus,10581,10581AF.jpg,Chaetodon_melannotus_FishPix_10581.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10581AF.jpg,Chaetodontidae,no,success,92117
Chaetodon auriga,10582,10582AF.jpg,Chaetodon_auriga_FishPix_10582.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10582AF.jpg,Chaetodontidae,no,success,121660
Chaetodon plebeius,10583,10583AF.jpg,Chaetodon_plebeius_FishPix_10583.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10583AF.jpg,Chaetodontidae,no,success,88670
Chaetodon wiebeli,10584,10584AF.jpg,Chaetodon_wiebeli_FishPix_10584.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10584AF.jpg,Chaetodontidae,no,success,79396
Chaetodon wiebeli,10585,10585AF.jpg,Chaetodon_wiebeli_FishPix_10585.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10585AF.jpg,Chaetodontidae,no,success,66934
Chaetodon auripes,10586,10586AF.jpg,Chaetodon_auripes_FishPix_10586.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10586AF.jpg,Chaetodontidae,no,success,101927
Chaetodon kleinii,10587,10587AF.jpg,Chaetodon_kleinii_FishPix_10587.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10587AF.jpg,Chaetodontidae,yes,success,72788
Heniochus chrysostomus,10592,10592AF.jpg,Heniochus_chrysostomus_FishPix_10592.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10592AF.jpg,Chaetodontidae,no,success,108698
Heniochus diphreutes,10593,10593AF.jpg,Heniochus_diphreutes_FishPix_10593.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10593AF.jpg,Chaetodontidae,no,success,75950
Unknown,10621,10621AF.jpg,Unknown_FishPix_10621.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10621AF.jpg,Chaetodontidae,no,success,138880
Chaetodon baronessa,10624,10624AF.jpg,Chaetodon_baronessa_FishPix_10624.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10624AF.jpg,Chaetodontidae,no,success,121234
Chaetodon semilarvatus,10689,10689AF.jpg,Chaetodon_semilarvatus_FishPix_10689.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10689AF.jpg,Chaetodontidae,no,success,149246
Chaetodon austriacus,10690,10690AF.jpg,Chaetodon_austriacus_FishPix_10690.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10690AF.jpg,Chaetodontidae,no,success,155056
Chaetodon fasciatus,10691,10691AF.jpg,Chaetodon_fasciatus_FishPix_10691.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10691AF.jpg,Chaetodontidae,no,success,112656
Chaetodon fasciatus,10692,10692AF.jpg,Chaetodon_fasciatus_FishPix_10692.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10692AF.jpg,Chaetodontidae,no,success,155771
Chaetodon auriga,10693,10693AF.jpg,Chaetodon_auriga_FishPix_10693.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10693AF.jpg,Chaetodontidae,no,success,64162
Chaetodon auriga,10694,10694AF.jpg,Chaetodon_auriga_FishPix_10694.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10694AF.jpg,Chaetodontidae,no,success,107898
Chaetodon trifascialis,10695,10695AF.jpg,Chaetodon_trifascialis_FishPix_10695.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10695AF.jpg,Chaetodontidae,no,success,69075
Chaetodon paucifasciatus,10696,10696AF.jpg,Chaetodon_paucifasciatus_FishPix_10696.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10696AF.jpg,Chaetodontidae,no,success,154090
Heniochus intermedius,10697,10697AF.jpg,Heniochus_intermedius_FishPix_10697.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10697AF.jpg,Chaetodontidae,no,success,167605
Heniochus intermedius,10698,10698AF.jpg,Heniochus_intermedius_FishPix_10698.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10698AF.jpg,Chaetodontidae,no,success,100623
Chaetodon reticulatus,107133,107133AF.jpg,Chaetodon_reticulatus_FishPix_107133.jpg,https://fishpix.kahaku.go.jp/photos/NR0107/107133AF.jpg,Chaetodontidae,no,success,162930
Chaetodon reticulatus,107134,107134AF.jpg,Chaetodon_reticulatus_FishPix_107134.jpg,https://fishpix.kahaku.go.jp/photos/NR0107/107134AF.jpg,Chaetodontidae,yes,success,160930
Unknown,107269,107269AF.jpg,Unknown_FishPix_107269.jpg,https://fishpix.kahaku.go.jp/photos/NR0107/107269AF.jpg,Chaetodontidae,no,success,133477
Unknown,107270,107270AF.jpg,Unknown_FishPix_107270.jpg,https://fishpix.kahaku.go.jp/photos/NR0107/107270AF.jpg,Chaetodontidae,no,success,136784
Chaetodon auriga,10730,10730AF.jpg,Chaetodon_auriga_FishPix_10730.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10730AF.jpg,Chaetodontidae,no,success,69042
Chaetodon wiebeli,107464,107464AF.jpg,Chaetodon_wiebeli_FishPix_107464.jpg,https://fishpix.kahaku.go.jp/photos/NR0107/107464AF.jpg,Chaetodontidae,yes,success,130492
Unknown,10755,10755AF.jpg,Unknown_FishPix_10755.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10755AF.jpg,Chaetodontidae,no,success,28672
Heniochus chrysostomus,10765,10765AF.jpg,Heniochus_chrysostomus_FishPix_10765.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10765AF.jpg,Chaetodontidae,no,success,30720
Unknown,10768,10768AF.jpg,Unknown_FishPix_10768.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10768AF.jpg,Chaetodontidae,no,success,24576
Forcipiger flavissimus,10771,10771AF.jpg,Forcipiger_flavissimus_FishPix_10771.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10771AF.jpg,Chaetodontidae,no,success,23552
Unknown,107713,107713AF.jpg,Unknown_FishPix_107713.jpg,https://fishpix.kahaku.go.jp/photos/NR0107/107713AF.jpg,Chaetodontidae,no,success,131188
Chaetodon reticulatus,10773,10773AF.jpg,Chaetodon_reticulatus_FishPix_10773.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10773AF.jpg,Chaetodontidae,no,success,23552
Temminck et,107768,107768AF.jpg,Temminck_et_FishPix_107768.jpg,https://fishpix.kahaku.go.jp/photos/NR0107/107768AF.jpg,Chaetodontidae,no,success,122647
Unknown,10789,10789AF.jpg,Unknown_FishPix_10789.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10789AF.jpg,Chaetodontidae,no,success,18432
Chaetodon plebeius,107951,107951AF.jpg,Chaetodon_plebeius_FishPix_107951.jpg,https://fishpix.kahaku.go.jp/photos/NR0107/107951AF.jpg,Chaetodontidae,yes,success,124467
Chaetodon nippon,10811,10811AF.jpg,Chaetodon_nippon_FishPix_10811.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10811AF.jpg,Chaetodontidae,no,success,17408
Chaetodon vagabundus,108224,108224AF.jpg,Chaetodon_vagabundus_FishPix_108224.jpg,https://fishpix.kahaku.go.jp/photos/NR0108/108224AF.jpg,Chaetodontidae,no,success,128789
Unknown,108471,108471AF.jpg,Unknown_FishPix_108471.jpg,https://fishpix.kahaku.go.jp/photos/NR0108/108471AF.jpg,Chaetodontidae,no,success,100376
Chaetodon argentatus,108490,108490AF.jpg,Chaetodon_argentatus_FishPix_108490.jpg,https://fishpix.kahaku.go.jp/photos/NR0108/108490AF.jpg,Chaetodontidae,no,success,95407
Unknown,108491,108491AF.jpg,Unknown_FishPix_108491.jpg,https://fishpix.kahaku.go.jp/photos/NR0108/108491AF.jpg,Chaetodontidae,no,success,124668
Chaetodon auriga,108492,108492AF.jpg,Chaetodon_auriga_FishPix_108492.jpg,https://fishpix.kahaku.go.jp/photos/NR0108/108492AF.jpg,Chaetodontidae,no,success,105597
Chaetodon lunulatus,108982,108982AF.jpg,Chaetodon_lunulatus_FishPix_108982.jpg,https://fishpix.kahaku.go.jp/photos/NR0108/108982AF.jpg,Chaetodontidae,no,success,104189
Chaetodon lunulatus,108983,108983AF.jpg,Chaetodon_lunulatus_FishPix_108983.jpg,https://fishpix.kahaku.go.jp/photos/NR0108/108983AF.jpg,Chaetodontidae,no,success,85967
Chaetodon plebeius,10909,10909AF.jpg,Chaetodon_plebeius_FishPix_10909.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10909AF.jpg,Chaetodontidae,no,success,46080
Heniochus diphreutes,109159,109159AF.jpg,Heniochus_diphreutes_FishPix_109159.jpg,https://fishpix.kahaku.go.jp/photos/NR0109/109159AF.jpg,Chaetodontidae,no,success,87482
Heniochus diphreutes,109160,109160AF.jpg,Heniochus_diphreutes_FishPix_109160.jpg,https://fishpix.kahaku.go.jp/photos/NR0109/109160AF.jpg,Chaetodontidae,no,success,78957
Heniochus diphreutes,109161,109161AF.jpg,Heniochus_diphreutes_FishPix_109161.jpg,https://fishpix.kahaku.go.jp/photos/NR0109/109161AF.jpg,Chaetodontidae,no,success,96842
Heniochus diphreutes,109190,109190AF.jpg,Heniochus_diphreutes_FishPix_109190.jpg,https://fishpix.kahaku.go.jp/photos/NR0109/109190AF.jpg,Chaetodontidae,no,success,69245
Chaetodon auripes,109265,109265AF.jpg,Chaetodon_auripes_FishPix_109265.jpg,https://fishpix.kahaku.go.jp/photos/NR0109/109265AF.jpg,Chaetodontidae,no,success,89898
Heniochus diphreutes,109266,109266AF.jpg,Heniochus_diphreutes_FishPix_109266.jpg,https://fishpix.kahaku.go.jp/photos/NR0109/109266AF.jpg,Chaetodontidae,no,success,75447
Unknown,10954,10954AF.jpg,Unknown_FishPix_10954.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10954AF.jpg,Chaetodontidae,no,success,31744
Chaetodon argentatus,10957,10957AF.jpg,Chaetodon_argentatus_FishPix_10957.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10957AF.jpg,Chaetodontidae,no,success,26624
Unknown,10962,10962AF.jpg,Unknown_FishPix_10962.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10962AF.jpg,Chaetodontidae,no,success,15360
Chaetodon argentatus,109671,109671AF.jpg,Chaetodon_argentatus_FishPix_109671.jpg,https://fishpix.kahaku.go.jp/photos/NR0109/109671AF.jpg,Chaetodontidae,no,success,113472
Chaetodon trifascialis,10969,10969AF.jpg,Chaetodon_trifascialis_FishPix_10969.jpg,https://fishpix.kahaku.go.jp/photos/NR0010/10969AF.jpg,Chaetodontidae,no,success,26624
Chaetodon speculum,109938,109938AF.jpg,Chaetodon_speculum_FishPix_109938.jpg,https://fishpix.kahaku.go.jp/photos/NR0109/109938AF.jpg,Chaetodontidae,no,success,105874
Chaetodon ulietensis,109971,109971AF.jpg,Chaetodon_ulietensis_FishPix_109971.jpg,https://fishpix.kahaku.go.jp/photos/NR0109/109971AF.jpg,Chaetodontidae,no,success,101729
Chaetodon vagabundus,11253,11253AF.jpg,Chaetodon_vagabundus_FishPix_11253.jpg,https://fishpix.kahaku.go.jp/photos/NR0011/11253AF.jpg,Chaetodontidae,no,success,16384
Chaetodon punctatofasciatus,11379,11379AF.jpg,Chaetodon_punctatofasciatus_FishPix_11379.jpg,https://fishpix.kahaku.go.jp/photos/NR0011/11379AF.jpg,Chaetodontidae,no,success,30720
Chaetodon auriga,11409,11409AF.jpg,Chaetodon_auriga_FishPix_11409.jpg,https://fishpix.kahaku.go.jp/photos/NR0011/11409AF.jpg,Chaetodontidae,no,success,20480
Chaetodon vagabundus,11441,11441AF.jpg,Chaetodon_vagabundus_FishPix_11441.jpg,https://fishpix.kahaku.go.jp/photos/NR0011/11441AF.jpg,Chaetodontidae,no,success,36864
Chaetodon punctatofasciatus,11544,11544AF.jpg,Chaetodon_punctatofasciatus_FishPix_11544.jpg,https://fishpix.kahaku.go.jp/photos/NR0011/11544AF.jpg,Chaetodontidae,no,success,116550
Heniochus diphreutes,11583,11583AF.jpg,Heniochus_diphreutes_FishPix_11583.jpg,https://fishpix.kahaku.go.jp/photos/NR0011/11583AF.jpg,Chaetodontidae,yes,success,133143
Heniochus diphreutes,11585,11585AF.jpg,Heniochus_diphreutes_FishPix_11585.jpg,https://fishpix.kahaku.go.jp/photos/NR0011/11585AF.jpg,Chaetodontidae,no,success,125303
Heniochus diphreutes,11640,11640AF.jpg,Heniochus_diphreutes_FishPix_11640.jpg,https://fishpix.kahaku.go.jp/photos/NR0011/11640AF.jpg,Chaetodontidae,no,success,136948
Heniochus diphreutes,11641,11641AF.jpg,Heniochus_diphreutes_FishPix_11641.jpg,https://fishpix.kahaku.go.jp/photos/NR0011/11641AF.jpg,Chaetodontidae,no,success,125532
Chaetodon vagabundus,11642,11642AF.jpg,Chaetodon_vagabundus_FishPix_11642.jpg,https://fishpix.kahaku.go.jp/photos/NR0011/11642AF.jpg,Chaetodontidae,no,success,135104
Chaetodon lunula,11643,11643AF.jpg,Chaetodon_lunula_FishPix_11643.jpg,https://fishpix.kahaku.go.jp/photos/NR0011/11643AF.jpg,Chaetodontidae,yes,success,139436
Chaetodon melannotus,11644,11644AF.jpg,Chaetodon_melannotus_FishPix_11644.jpg,https://fishpix.kahaku.go.jp/photos/NR0011/11644AF.jpg,Chaetodontidae,no,success,143821
Chaetodon speculum,11717,11717AF.jpg,Chaetodon_speculum_FishPix_11717.jpg,https://fishpix.kahaku.go.jp/photos/NR0011/11717AF.jpg,Chaetodontidae,no,success,153677
Chaetodon ephippium,11722,11722AF.jpg,Chaetodon_ephippium_FishPix_11722.jpg,https://fishpix.kahaku.go.jp/photos/NR0011/11722AF.jpg,Chaetodontidae,no,success,102975
Chaetodon speculum,11725,11725AF.jpg,Chaetodon_speculum_FishPix_11725.jpg,https://fishpix.kahaku.go.jp/photos/NR0011/11725AF.jpg,Chaetodontidae,no,success,138608
Chaetodon auriga,11838,11838AF.jpg,Chaetodon_auriga_FishPix_11838.jpg,https://fishpix.kahaku.go.jp/photos/NR0011/11838AF.jpg,Chaetodontidae,no,success,27648
Chaetodon modestus,11839,11839AF.jpg,Chaetodon_modestus_FishPix_11839.jpg,https://fishpix.kahaku.go.jp/photos/NR0011/11839AF.jpg,Chaetodontidae,yes,success,30720
Coradion altivelis,11840,11840AF.jpg,Coradion_altivelis_FishPix_11840.jpg,https://fishpix.kahaku.go.jp/photos/NR0011/11840AF.jpg,Chaetodontidae,no,success,22528
Chaetodon vagabundus,11841,11841AF.jpg,Chaetodon_vagabundus_FishPix_11841.jpg,https://fishpix.kahaku.go.jp/photos/NR0011/11841AF.jpg,Chaetodontidae,no,success,33792
Chaetodon auripes,11842,11842AF.jpg,Chaetodon_auripes_FishPix_11842.jpg,https://fishpix.kahaku.go.jp/photos/NR0011/11842AF.jpg,Chaetodontidae,no,success,24576
Chaetodon auripes,11843,11843AF.jpg,Chaetodon_auripes_FishPix_11843.jpg,https://fishpix.kahaku.go.jp/photos/NR0011/11843AF.jpg,Chaetodontidae,no,success,18432
Chaetodon kleinii,11844,11844AF.jpg,Chaetodon_kleinii_FishPix_11844.jpg,https://fishpix.kahaku.go.jp/photos/NR0011/11844AF.jpg,Chaetodontidae,no,success,25600
Chaetodon guentheri,11845,11845AF.jpg,Chaetodon_guentheri_FishPix_11845.jpg,https://fishpix.kahaku.go.jp/photos/NR0011/11845AF.jpg,Chaetodontidae,no,success,21504
Chaetodon nippon,11846,11846AF.jpg,Chaetodon_nippon_FishPix_11846.jpg,https://fishpix.kahaku.go.jp/photos/NR0011/11846AF.jpg,Chaetodontidae,no,success,17408
Chaetodon nippon,11847,11847AF.jpg,Chaetodon_nippon_FishPix_11847.jpg,https://fishpix.kahaku.go.jp/photos/NR0011/11847AF.jpg,Chaetodontidae,no,success,24576
Chaetodon daedalma,11848,11848AF.jpg,Chaetodon_daedalma_FishPix_11848.jpg,https://fishpix.kahaku.go.jp/photos/NR0011/11848AF.jpg,Chaetodontidae,no,success,26624
Unknown,11849,11849AF.jpg,Unknown_FishPix_11849.jpg,https://fishpix.kahaku.go.jp/photos/NR0011/11849AF.jpg,Chaetodontidae,no,success,18432
Heniochus diphreutes,11850,11850AF.jpg,Heniochus_diphreutes_FishPix_11850.jpg,https://fishpix.kahaku.go.jp/photos/NR0011/11850AF.jpg,Chaetodontidae,no,success,15360
Forcipiger flavissimus,11851,11851AF.jpg,Forcipiger_flavissimus_FishPix_11851.jpg,https://fishpix.kahaku.go.jp/photos/NR0011/11851AF.jpg,Chaetodontidae,yes,success,20480
Heniochus monoceros,12014,12014AF.jpg,Heniochus_monoceros_FishPix_12014.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12014AF.jpg,Chaetodontidae,no,success,22528
Chaetodon oxycephalus,12047,12047AF.jpg,Chaetodon_oxycephalus_FishPix_12047.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12047AF.jpg,Chaetodontidae,no,success,14336
Chaetodon madagaskariensis,12048,12048AF.jpg,Chaetodon_madagaskariensis_FishPix_12048.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12048AF.jpg,Chaetodontidae,no,success,46080
Hemitaurichthys zoster,12049,12049AF.jpg,Hemitaurichthys_zoster_FishPix_12049.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12049AF.jpg,Chaetodontidae,yes,success,123155
Unknown,12050,12050AF.jpg,Unknown_FishPix_12050.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12050AF.jpg,Chaetodontidae,no,success,20480
Chaetodon xanthocephalus,12051,12051AF.jpg,Chaetodon_xanthocephalus_FishPix_12051.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12051AF.jpg,Chaetodontidae,no,success,31744
Chaetodon kleinii,12052,12052AF.jpg,Chaetodon_kleinii_FishPix_12052.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12052AF.jpg,Chaetodontidae,no,success,40960
Chaetodon bennetti,12053,12053AF.jpg,Chaetodon_bennetti_FishPix_12053.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12053AF.jpg,Chaetodontidae,no,success,44032
Unknown,12054,12054AF.jpg,Unknown_FishPix_12054.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12054AF.jpg,Chaetodontidae,no,success,144476
Chaetodon punctatofasciatus,12055,12055AF.jpg,Chaetodon_punctatofasciatus_FishPix_12055.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12055AF.jpg,Chaetodontidae,no,success,30720
Unknown,12056,12056AF.jpg,Unknown_FishPix_12056.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12056AF.jpg,Chaetodontidae,no,success,40960
Chaetodon auripes,12057,12057AF.jpg,Chaetodon_auripes_FishPix_12057.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12057AF.jpg,Chaetodontidae,no,success,86114
Chaetodon ephippium,12058,12058AF.jpg,Chaetodon_ephippium_FishPix_12058.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12058AF.jpg,Chaetodontidae,no,success,24576
Unknown,12059,12059AF.jpg,Unknown_FishPix_12059.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12059AF.jpg,Chaetodontidae,no,success,31744
Unknown,12060,12060AF.jpg,Unknown_FishPix_12060.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12060AF.jpg,Chaetodontidae,no,success,20480
Chaetodon auriga,12061,12061AF.jpg,Chaetodon_auriga_FishPix_12061.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12061AF.jpg,Chaetodontidae,yes,success,25600
Chaetodon meyeri,12062,12062AF.jpg,Chaetodon_meyeri_FishPix_12062.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12062AF.jpg,Chaetodontidae,no,success,39936
Chaetodon guttatissimus,12063,12063AF.jpg,Chaetodon_guttatissimus_FishPix_12063.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12063AF.jpg,Chaetodontidae,no,success,37888
Chaetodon xanthocephalus,12064,12064AF.jpg,Chaetodon_xanthocephalus_FishPix_12064.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12064AF.jpg,Chaetodontidae,no,success,36864
Chaetodon guttatissimus,12065,12065AF.jpg,Chaetodon_guttatissimus_FishPix_12065.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12065AF.jpg,Chaetodontidae,no,success,27648
Chaetodon madagaskariensis,12066,12066AF.jpg,Chaetodon_madagaskariensis_FishPix_12066.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12066AF.jpg,Chaetodontidae,no,success,151734
Chaetodon falcula,12067,12067AF.jpg,Chaetodon_falcula_FishPix_12067.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12067AF.jpg,Chaetodontidae,no,success,14336
Chaetodon meyeri,12068,12068AF.jpg,Chaetodon_meyeri_FishPix_12068.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12068AF.jpg,Chaetodontidae,no,success,38912
Heniochus pleurotaenia,12069,12069AF.jpg,Heniochus_pleurotaenia_FishPix_12069.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12069AF.jpg,Chaetodontidae,no,success,135801
Chaetodon collare,12070,12070AF.jpg,Chaetodon_collare_FishPix_12070.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12070AF.jpg,Chaetodontidae,no,success,182866
Chaetodon unimaculatus,12071,12071AF.jpg,Chaetodon_unimaculatus_FishPix_12071.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12071AF.jpg,Chaetodontidae,no,success,59392
Heniochus monoceros,12072,12072AF.jpg,Heniochus_monoceros_FishPix_12072.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12072AF.jpg,Chaetodontidae,no,success,33792
Chaetodon kleinii,12075,12075AF.jpg,Chaetodon_kleinii_FishPix_12075.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12075AF.jpg,Chaetodontidae,no,success,53248
Chaetodon argentatus,12076,12076AF.jpg,Chaetodon_argentatus_FishPix_12076.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12076AF.jpg,Chaetodontidae,no,success,38912
Forcipiger flavissimus,12077,12077AF.jpg,Forcipiger_flavissimus_FishPix_12077.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12077AF.jpg,Chaetodontidae,no,success,23552
Chaetodon melannotus,12078,12078AF.jpg,Chaetodon_melannotus_FishPix_12078.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12078AF.jpg,Chaetodontidae,no,success,36864
Chaetodon bennetti,12079,12079AF.jpg,Chaetodon_bennetti_FishPix_12079.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12079AF.jpg,Chaetodontidae,no,success,40960
Chaetodon speculum,12080,12080AF.jpg,Chaetodon_speculum_FishPix_12080.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12080AF.jpg,Chaetodontidae,yes,success,21504
Chaetodon trifascialis,12081,12081AF.jpg,Chaetodon_trifascialis_FishPix_12081.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12081AF.jpg,Chaetodontidae,no,success,30720
Chaetodon argentatus,12082,12082AF.jpg,Chaetodon_argentatus_FishPix_12082.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12082AF.jpg,Chaetodontidae,no,success,25600
Chaetodon ephippium,12083,12083AF.jpg,Chaetodon_ephippium_FishPix_12083.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12083AF.jpg,Chaetodontidae,no,success,33792
Heniochus chrysostomus,12084,12084AF.jpg,Heniochus_chrysostomus_FishPix_12084.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12084AF.jpg,Chaetodontidae,no,success,24576
Heniochus chrysostomus,12085,12085AF.jpg,Heniochus_chrysostomus_FishPix_12085.jpg,https://fishpix.kahaku.go.jp/photos/NR0012/12085AF.jpg,Chaetodontidae,no,success,33792
Heniochus diphreutes,1249,1249AF.jpg,Heniochus_diphreutes_FishPix_1249.jpg,https://fishpix.kahaku.go.jp/photos/NR0001/1249AF.jpg,Chaetodontidae,no,success,33792
