"variable","slope","p_value","r_squared"
"PC1",0.00555106169092715,0.0208535114380337,0.0507527889416968
"PC2",0.00188995001656321,0.222271266381882,0.0144277883225471
"PC3",0.000946987489914903,0.308337092067316,0.010073492412338
