"variable","K","p_value"
"PC1",0.207614305026017,0.003
"PC2",0.199332836529672,0.009
"PC3",0.194102525572062,0.005
"m",0.229862894376538,0.001
"A",0.286554432616322,0.001
"Jc",0.249454267611557,0.001
"Jt",0.154256615887608,0.054
"m_dS",0.147101263297873,0.154
"m_dL",0.145527148103448,0.189
