species,id_2019,photographer,locality,source,source_url,region,notes
Chaetodon_burgessi,1,"Randall, J.E.","Indonesia, Widi Island, Halmahera",FishBase,http://www.fishbase.org/photos/PicturesSummary.php?ID=5560&what=species,Indo-Pacific,Different image from Bishop collection
Chaetodon_capistratus,2,"Patzner, R.A.","Netherlands Antilles, Bonaire",FishBase,http://www.fishbase.org/photos/PicturesSummary.php?StartRow=0&ID=3602&what=species&TotRec=4,Caribbean,Non-Randall photographer
Chaetodon_hoefleri,3,"Wirtz, P.","Senegal, Ngor Island",FishBase,http://www.fishbase.org/photos/PicturesSummary.php?ID=5046&what=species,Eastern Atlantic,Non-Randall photographer - valuable for Atlantic coverage
Chaetodon_interruptus,4,"Randall, J.E.",Maldives,FishBase,http://www.fishbase.org/photos/PicturesSummary.php?StartRow=1&ID=61607&what=species&TotRec=4,Indo-Pacific,Different image from Bishop collection
Chaetodon_oxycephalus,5,"Randall, J.E.",Palau,FishBase,http://www.fishbase.org/photos/PicturesSummary.php?ID=5472&what=species,Indo-Pacific,Different image from Bishop collection
Chaetodon_quadrimaculatus,6,"Randall, J.E.","Hawaii, Kona",FishBase,http://www.fishbase.org/photos/PicturesSummary.php?ID=5572&what=species,Pacific,Different image from Bishop collection
Chaetodon_robustus,7,"Wirtz, P.",Sao Tome and Principe,FishBase,http://www.fishbase.org/photos/PicturesSummary.php?StartRow=0&ID=10191&what=species&TotRec=3,Eastern Atlantic,Non-Randall photographer - valuable for Atlantic coverage
Chaetodon_sanctaehelenae,8,"Hernández-González, C.L.","Canary Islands, Radazul, Tenerife",FishBase,http://www.fishbase.org/photos/PicturesSummary.php?ID=12536&what=species,Eastern Atlantic,Non-Randall photographer - Atlantic endemic
Chaetodon_sedentarius,9,"Randall, J.E.",Unknown,FishBase,http://www.fishbase.org/photos/PicturesSummary.php?ID=3605&what=species,Caribbean,Different image from Bishop collection
Chaetodon_striatus,10,"Randall, J.E.",Belize,FishBase,http://www.fishbase.org/photos/PicturesSummary.php?ID=3606&what=species,Caribbean,Different image from Bishop collection
Chelmonops_curiosus,11,"Short, Graham",Australia,Fishes of Australia,http://fishesofaustralia.net.au/home/species/2408,Australia,Non-Randall - excellent quality image
Hemitaurichthys_thompsoni,12,"Randall, J.E.","Hawaii, Honaunau",FishBase,http://www.fishbase.org/photos/PicturesSummary.php?ID=5587&what=species,Pacific,Different image from Bishop collection
Johnrandallia_nigrirostris,13,"Randall, J.E.","Mexico, Espiritu Santo, Sea of Cortez",FishBase,http://www.fishbase.org/photos/PicturesSummary.php?ID=12310&what=species,Eastern Pacific,Different image from Bishop collection
Prognathodes_aculeatus,14,"Honeycutt, K.","Netherlands Antilles, Bonaire",FishBase,http://www.fishbase.org/photos/PicturesSummary.php?StartRow=1&ID=3600&what=species&TotRec=4,Caribbean,Non-Randall photographer
Prognathodes_aya,15,"Dubosc, J.",Unknown,FishBase,http://www.fishbase.org/photos/PicturesSummary.php?ID=3601&what=species,Caribbean/Deep,Non-Randall - deep water species
Prognathodes_falcifer,16,"Gotshall, D.W.",Unknown,DiscoverLife,https://www.discoverlife.org/mp/20p?see=I_RR3512&res=640,Eastern Pacific,Non-Randall - Eastern Pacific endemic
Chaetodon_humeralis,18,Unknown,"Ecuador, Santa Rosa, Salinas",STRI,https://biogeodb.stri.si.edu/sftep/en/thefishes/species/1545,Eastern Pacific,Unknown photographer - STRI database
Chaetodon_ocellatus,19,"Steele, M.A.","Bahamas, Exumas",FishBase,http://www.fishbase.se/photos/PicturesSummary.php?StartRow=1&ID=3604&what=species&TotRec=3,Caribbean,Non-Randall photographer
Prognathodes_marcellae,171,"Lemon TYK (Yi-Kai Tea)",Unknown,Reefs.com,https://reefs.com/2016/01/21/long-nosed-butterflies-part-3-prognathodes/,Deep water,Expert aquarist photo - rare deep species
