species,in_bishop,speccode,fishbase_randall_count,fishbase_total_images,randall_filenames,note
Chelmon marginalis,True,6650,3,5,Chmar_u2.jpg; Chmar_u4.jpg; Chmar_u5.jpg,
Chelmon muelleri,True,6651,2,4,Chmue_u1.jpg; Chmue_u2.jpg,
Chelmon rostratus,True,5483,3,7,Chros_u0.jpg; Chros_u4.jpg; Chros_u5.jpg,
Chelmonops truncatus,True,10286,1,1,Chtru_u1.jpg,
Coradion altivelis,True,11250,3,6,Coalt_u2.jpg; Coalt_u0.jpg; Coalt_u1.jpg,
Coradion chrysozonus,True,5583,5,7,Cochr_u0.jpg; Cochr_u1.jpg; Cochr_u3.jpg; Cochr_u4.jpg; Cochr_u5.jpg,
Coradion melanopus,True,10287,4,8,Comel_u4.jpg; Comel_u0.jpg; Comel_u1.jpg; Comel_u2.jpg,
Forcipiger flavissimus,True,5584,3,11,Fofla_u0.jpg; Fofla_u3.jpg; Fofla_u4.jpg,
Forcipiger longirostris,True,5585,3,8,Folon_u0.jpg; Folon_u1.jpg; Folon_u2.jpg,
Hemitaurichthys multispinosus,True,25435,1,1,Hemul_u0.jpg,
Hemitaurichthys polylepis,True,5586,2,8,Hepol_u0.jpg; Hepol_u2.jpg,
Hemitaurichthys zoster,True,7795,2,5,Hezos_u1.jpg; Hezos_u0.jpg,
Heniochus acuminatus,True,5588,4,14,Heacu_u3.jpg; Heacu_u1.jpg; Heacu_u2.jpg; Heacu_u4.jpg,
Heniochus chrysostomus,True,5589,2,9,Hechr_u1.jpg; Hechr_u0.jpg,
Heniochus diphreutes,True,7769,2,7,Hedip_u0.jpg; Hedip_u2.jpg,
Heniochus intermedius,True,12309,2,5,Heint_u0.jpg; Heint_u1.jpg,
Heniochus monoceros,True,5590,4,9,Hemon_u0.jpg; Hemon_u2.jpg; Hemon_u3.jpg; Hemon_u4.jpg,
Heniochus pleurotaenia,True,12528,2,4,Heple_u1.jpg; Heple_u0.jpg,
Heniochus singularius,True,5591,3,8,Hesin_u0.jpg; Hesin_u1.jpg; Hesin_u3.jpg,
Heniochus varius,True,5592,2,9,Hevar_u0.jpg; Hevar_u2.jpg,
Parachaetodon ocellatus,True,7887,4,7,Paoce_u0.jpg; Paoce_j0.jpg; Paoce_u2.jpg; Paoce_u3.jpg,
Chaetodon assarius,False,6516,0,1,,
Chaetodon burgessi,False,5560,1,5,Chbur_u0.jpg,RANDALL NOT IN BISHOP
Chaetodon capistratus,False,3602,1,5,Chcap_u0.jpg,RANDALL NOT IN BISHOP
Chaetodon hoefleri,False,5046,0,4,,
Chaetodon humeralis,False,8278,0,6,,
Chaetodon interruptus,False,61607,2,5,Chuni_u3.jpg; Chuni_u2.jpg,RANDALL NOT IN BISHOP
Chaetodon ocellatus,False,3604,0,3,,
Chaetodon oxycephalus,False,5472,1,2,Choxy_u0.jpg,RANDALL NOT IN BISHOP
Chaetodon quadrimaculatus,False,5572,1,6,Chqua_u2.jpg,RANDALL NOT IN BISHOP
Chaetodon robustus,False,10191,0,3,,
Chaetodon sanctaehelenae,False,12536,0,4,,
Chaetodon sedentarius,False,3605,1,4,Chsed_u1.jpg,RANDALL NOT IN BISHOP
Chaetodon striatus,False,3606,1,5,Chstr_u0.jpg,RANDALL NOT IN BISHOP
Chaetodon triangulum,False,7805,1,2,Chtri_ui.jpg,RANDALL NOT IN BISHOP
Chaetodon zanzibarensis,False,8933,2,5,Chzan_u1.jpg; Chzan_u0.jpg,RANDALL NOT IN BISHOP
Chelmonops curiosus,False,25434,0,1,,
Forcipiger wanai,False,66863,0,1,,
Hemitaurichthys thompsoni,False,5587,1,1,Hetho_u0.jpg,RANDALL NOT IN BISHOP
Johnrandallia nigrirostris,False,12310,1,5,Jonig_u0.jpg,RANDALL NOT IN BISHOP
Prognathodes aculeatus,False,3600,1,6,Chacu_u1.jpg,RANDALL NOT IN BISHOP
Prognathodes aya,False,3601,0,3,,
Prognathodes brasiliensis,False,60583,0,3,,
Prognathodes carlhubbsi,False,60584,0,1,,
Prognathodes dichrous,False,12263,0,2,,
Prognathodes falcifer,False,3603,0,2,,
Prognathodes guyanensis,False,10986,0,5,,
Prognathodes marcellae,False,5102,0,2,,
Prognathodes obliquus,False,27234,0,1,,
Roa australis,False,65038,0,1,,
Roa excelsa,False,12531,1,1,Chexc_u0.jpg,RANDALL NOT IN BISHOP
Roa jayakari,False,12530,1,5,Chjay_u1.jpg,RANDALL NOT IN BISHOP
Roa modesta,False,11668,1,7,Chmod_u1.jpg,RANDALL NOT IN BISHOP
