species,in_bishop,speccode,fishbase_randall_count,fishbase_total_images,randall_filenames,note
Amphichaetodon howensis,True,12529,4,5,Amhow_u0.jpg; Amhow_u1.jpg; Amhow_u2.jpg; Amhow_u3.jpg,
Amphichaetodon melbae,True,10293,1,1,Ammel_u0.jpg,
Chaetodon adiergastos,True,6515,2,5,Chadi_u0.jpg; Chadi_u1.jpg,
Chaetodon andamanensis,True,58164,1,3,Chand_u0.jpg,
Chaetodon argentatus,True,6665,3,5,Charg_u3.jpg; Charg_u1.jpg; Charg_u2.jpg,
Chaetodon aureofasciatus,True,6513,2,3,Chaur_ui.jpg; Chaur_u1.jpg,
Chaetodon auriga,True,5557,8,16,Chaur_u0.jpg; Chaur_u4.jpg; Chaur_u5.jpg; Chaur_u6.jpg; Chaur_u7.jpg; Chaur_u8.jpg; Chaur_u9.jpg; Chaur_ua.jpg,
Chaetodon auripes,True,6648,3,8,Chaur_u2.jpg; Chaur_ub.jpg; Chaur_uc.jpg,
Chaetodon austriacus,True,6514,2,4,Chaus_u2.jpg; Chaus_u1.jpg,
Chaetodon baronessa,True,5558,5,9,Chbar_u2.jpg; Chbar_u0.jpg; Chbar_u1.jpg; Chbar_u3.jpg; Chbar_u4.jpg,
Chaetodon bennetti,True,5559,2,6,Chben_u1.jpg; Chben_u2.jpg,
Chaetodon blackburnii,True,8015,4,6,Chbla_j0.jpg; Chbla_f0.jpg; Chbla_u0.jpg; Chbla_u1.jpg,
Chaetodon citrinellus,True,5561,6,7,Chcit_u0.jpg; Chcit_u1.jpg; Chcit_u2.jpg; Chcit_u3.jpg; Chcit_u4.jpg; Chcit_u5.jpg,
Chaetodon collare,True,7803,3,9,Chcol_u1.jpg; Chcol_u2.jpg; Chcol_u3.jpg,
Chaetodon daedalma,True,12646,2,2,Chdae_u0.jpg; Chdae_u1.jpg,
Chaetodon declivis,True,12259,4,6,Chdec_u0.jpg; Chdec_u1.jpg; Chdec_u2.jpg; Chdec_u3.jpg,
Chaetodon decussatus,True,10352,2,6,Chdec_u5.jpg; Chdec_u4.jpg,
Chaetodon dialeucos,True,25436,3,3,Chdia_j0.jpg; Chdia_u1.jpg; Chdia_u0.jpg,
Chaetodon dolosus,True,8916,2,3,Chdol_u0.jpg; Chdol_u1.jpg,
Chaetodon ephippium,True,5562,3,9,Cheph_u0.jpg; Cheph_u3.jpg; Cheph_u5.jpg,
Chaetodon excelsa,True,12531,1,1,Chexc_u0.jpg,
Chaetodon falcula,True,8014,2,6,Chfal_u0.jpg; Chfal_u1.jpg,
Chaetodon fasciatus,True,12274,3,5,Chfas_u0.jpg; Chfas_u1.jpg; Chfas_u6.jpg,
Chaetodon flavirostris,True,6527,2,3,Chfla_u1.jpg; Chfla_u3.jpg,
Chaetodon flavocoronatus,True,5563,1,2,Chfla_u5.jpg,
Chaetodon fremblii,True,7808,2,5,Chfre_u0.jpg; Chfre_u1.jpg,
Chaetodon gardineri,True,12534,2,5,Chgar_u2.jpg; Chgar_u1.jpg,
Chaetodon guentheri,True,6528,2,3,Chgue_u2.jpg; Chgue_u1.jpg,
Chaetodon guttatissimus,True,7791,3,4,Chgut_u2.jpg; Chgut_u0.jpg; Chgut_u1.jpg,
Chaetodon kleinii,True,5446,4,10,Chkle_u0.jpg; Chkle_u1.jpg; Chkle_u2.jpg; Chkle_u4.jpg,
Chaetodon larvatus,True,12287,2,4,Chlar_u0.jpg; Chlar_u1.jpg,
Chaetodon leucopleura,True,8083,2,3,Chleu_ub.jpg; Chleu_u5.jpg,
Chaetodon lineolatus,True,5564,4,8,Chlin_u3.jpg; Chlin_u2.jpg; Chlin_u5.jpg; Chlin_u6.jpg,
Chaetodon litus,True,12538,2,2,Chlit_j0.jpg; Chlit_u0.jpg,
Chaetodon lunula,True,5565,5,9,Chlun_u0.jpg; Chlun_j0.jpg; Chlun_u6.jpg; Chlun_u7.jpg; Chlun_u8.jpg,
Chaetodon lunulatus,True,14300,3,10,Chlun_ua.jpg; Chlun_ub.jpg; Chlun_uc.jpg,
Chaetodon madagaskariensis,True,7793,3,4,Chmad_u0.jpg; Chmad_u1.jpg; Chmer_u5.jpg,
Chaetodon marleyi,True,8013,2,2,Chmar_ub.jpg; Chmar_ua.jpg,
Chaetodon melannotus,True,5566,4,9,Chmel_u4.jpg; Chmel_u6.jpg; Chmel_u7.jpg; Chmel_u8.jpg,
Chaetodon melapterus,True,12533,3,6,Chmel_u0.jpg; Chmel_u9.jpg; Chmel_ua.jpg,
Chaetodon mertensii,True,5567,4,5,Chmer_u0.jpg; Chmer_u2.jpg; Chmer_u3.jpg; Chmer_u4.jpg,
Chaetodon mesoleucos,True,25428,2,5,Chmes_u5.jpg; Chmes_u0.jpg,
Chaetodon meyeri,True,5568,2,4,Chmey_u2.jpg; Chmey_u0.jpg,
Chaetodon miliaris,True,5136,3,6,Chmil_u0.jpg; Chmil_u1.jpg; Chmil_u2.jpg,
Chaetodon mitratus,True,8927,2,5,Chmit_u0.jpg; Chmit_u1.jpg,
Chaetodon modestus,True,11668,1,7,Chmod_u1.jpg,
Chaetodon multicinctus,True,7810,3,3,Chmul_u7.jpg; Chmul_u2.jpg; Chmul_u3.jpg,
Chaetodon nigropunctatus,True,12535,3,5,Chnig_u0.jpg; Chnig_u2.jpg; Chnig_u4.jpg,
Chaetodon nippon,True,12532,2,2,Chnip_u0.jpg; Chnip_u1.jpg,
Chaetodon ocellicaudus,True,5569,2,3,Choce_u1.jpg; Choce_u4.jpg,
Chaetodon octofasciatus,True,5570,2,13,Choct_u0.jpg; Choct_u2.jpg,
Chaetodon ornatissimus,True,6550,3,9,Chorn_u0.jpg; Chorn_u2.jpg; Chorn_u3.jpg,
Chaetodon paucifasciatus,True,12296,2,5,Chpau_u0.jpg; Chpau_u1.jpg,
Chaetodon pelewensis,True,6606,2,4,Chpel_u2.jpg; Chpel_u1.jpg,
Chaetodon plebeius,True,6613,4,5,Chple_u0.jpg; Chple_u3.jpg; Chple_u4.jpg; Chple_u5.jpg,
Chaetodon punctatofasciatus,True,5571,2,4,Chpun_u0.jpg; Chpun_u3.jpg,
Chaetodon rafflesii,True,5573,3,5,Chraf_u0.jpg; Chraf_u2.jpg; Chraf_u3.jpg,
Chaetodon rainfordi,True,6631,2,5,Chrai_u1.jpg; Chrai_u0.jpg,
Chaetodon reticulatus,True,5574,2,4,Chret_u1.jpg; Chret_u4.jpg,
Chaetodon selene,True,6634,1,4,Chsel_u0.jpg,
Chaetodon semeion,True,5575,3,6,Chsem_u1.jpg; Chsem_u0.jpg; Chsem_u3.jpg,
Chaetodon semilarvatus,True,12300,2,6,Chsem_u4.jpg; Chsem_u2.jpg,
Chaetodon smithi,True,12648,4,5,Chsmi_u2.jpg; Chsmi_u0.jpg; Chsmi_u1.jpg; Chsmi_u3.jpg,
Chaetodon speculum,True,5576,2,13,Chspe_u6.jpg; Chspe_u0.jpg,
Chaetodon tinkeri,True,5577,4,6,Chtin_u3.jpg; Chtin_u0.jpg; Chtin_u1.jpg; Chtin_u2.jpg,
Chaetodon trichrous,True,12537,2,2,Chtri_uk.jpg; Chtri_ud.jpg,
Chaetodon tricinctus,True,6636,2,2,Chtri_u0.jpg; Chtri_u5.jpg,
Chaetodon trifascialis,True,5578,4,7,Chtri_u1.jpg; Chtri_u2.jpg; Chtri_u4.jpg; Chtri_u7.jpg,
Chaetodon trifasciatus,True,5579,1,7,Chtri_uc.jpg,
Chaetodon ulietensis,True,5580,2,7,Chuli_u1.jpg; Chuli_u2.jpg,
Chaetodon unimaculatus,True,5581,2,4,Chuni_u4.jpg; Chuni_u1.jpg,
Chaetodon vagabundus,True,5582,1,9,Chvag_u3.jpg,
Chaetodon wiebeli,True,6666,2,9,Chwie_u2.jpg; Chwie_u1.jpg,
Chaetodon xanthocephalus,True,7794,2,5,Chxan_u2.jpg; Chxan_u5.jpg,
Chaetodon xanthurus,True,6508,1,6,Chxan_u6.jpg,
Chaetodon zanzibariensis,True,8933,2,5,Chzan_u1.jpg; Chzan_u0.jpg,
