species,filename,source,image_url,locality,in_tree,download_success
Chaetodon collare,Chaetodon_collare_Bishop_1403678122.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/1403678122.jpg,Maldives; Villingili,yes,yes
Chaetodon collare,Chaetodon_collare_Bishop_1999007469.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/1999007469.jpg,Oman; Muscat,yes,yes
Chaetodon daedalma,Chaetodon_daedalma_Bishop_1811677923.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/1811677923.jpg,Japan; Ogasawara Island; Ani-jima,no,yes
Chaetodon declivis,Chaetodon_declivis_Bishop_-405463978.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-405463978.jpg,Christmas Island (Aust.); Christmas Is,yes,yes
Chaetodon declivis,Chaetodon_declivis_Bishop_1376440265.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/1376440265.jpg,Marquesas Islands; Fatu Hiva,yes,yes
Chaetodon declivis,Chaetodon_declivis_Bishop_-274435096.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-274435096.jpg,Christmas Island (Aust.),yes,yes
Chaetodon decussatus,Chaetodon_decussatus_Bishop_527122207.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/527122207.jpg,Sri Lanka; Negombo,yes,yes
Chaetodon dialeucos,Chaetodon_dialeucos_Bishop_1297085044.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/1297085044.jpg,Oman,yes,yes
Chaetodon dolosus,Chaetodon_dolosus_Bishop_-1008609691.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-1008609691.jpg,South Africa; Natal; Sodwana Bay,no,yes
Chaetodon ephippium,Chaetodon_ephippium_Bishop_-1179871461.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-1179871461.jpg,Hawaii (USA); Oahu; Moku Manu,yes,yes
Chaetodon ephippium,Chaetodon_ephippium_Bishop_-1248760382.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-1248760382.jpg,French Polynesia; Bora Bora,yes,yes
Chaetodon excelsa,Chaetodon_excelsa_Bishop_853070272.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/853070272.jpg,Hawaii (USA); Oahu,yes,yes
Chaetodon falcula,Chaetodon_falcula_Bishop_1821335233.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/1821335233.jpg,"Tanzania, United Rep. of; Mafia Island",yes,yes
Chaetodon fasciatus,Chaetodon_fasciatus_Bishop_-1886056978.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-1886056978.jpg,Egypt; Gulf of Aqaba,yes,yes
Chaetodon fasciatus,Chaetodon_fasciatus_Bishop_2100774615.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/2100774615.jpg,Egypt; Red Sea; Gulf of Aqaba,yes,yes
Chaetodon flavirostris,Chaetodon_flavirostris_Bishop_1864146380.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/1864146380.jpg,Tuamoto Islands; Anuanu Raro Atoll,no,yes
Chaetodon flavocoronatus,Chaetodon_flavocoronatus_Bishop_-1261632291.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-1261632291.jpg,Guam; Guam,no,yes
Chaetodon flavocoronatus,Chaetodon_flavocoronatus_Bishop_-1599575846.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-1599575846.jpg,Guam,no,yes
Chaetodon fremblii,Chaetodon_fremblii_Bishop_5130835.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/5130835.jpg,Hawaii (USA); Oahu; Kahe Pt.,yes,yes
Chaetodon gardineri,Chaetodon_gardineri_Bishop_-1706450280.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-1706450280.jpg,Oman; Mutrah,yes,yes
Chaetodon guentheri,Chaetodon_guentheri_Bishop_-184146759.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-184146759.jpg,Australia; Lord Howe Island,yes,yes
Chaetodon guttatissimus,Chaetodon_guttatissimus_Bishop_-397235578.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-397235578.jpg,Mauritius; Mauritius,yes,yes
Chaetodon guttatissimus,Chaetodon_guttatissimus_Bishop_-1623433841.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-1623433841.jpg,South Africa; Natal; Sodwana Bay,yes,yes
Chaetodon kleinii,Chaetodon_kleinii_Bishop_977649394.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/977649394.jpg,Marshall Islands; Enewetak,yes,yes
Chaetodon kleinii,Chaetodon_kleinii_Bishop_308997156.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/308997156.jpg,Palau,yes,yes
Chaetodon kleinii,Chaetodon_kleinii_Bishop_-1577854379.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-1577854379.jpg,Hawaii (USA); Oahu; Kahe Pt.,yes,yes
Chaetodon larvatus,Chaetodon_larvatus_Bishop_1783626891.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/1783626891.jpg,Sudan; Red Sea; Port Sudan,yes,yes
Chaetodon leucopleura,Chaetodon_leucopleura_Bishop_951338608.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/951338608.jpg,"Tanzania, United Rep. of; Mafia Island",yes,yes
Chaetodon lineolatus,Chaetodon_lineolatus_Bishop_1526268337.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/1526268337.jpg,Hawaii (USA); Oahu; Kaneohe Bay,yes,yes
Chaetodon lineolatus,Chaetodon_lineolatus_Bishop_1821004318.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/1821004318.jpg,Australia; Lord Howe Island,yes,yes
Chaetodon lineolatus,Chaetodon_lineolatus_Bishop_-879271097.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/-879271097.jpg,Sudan; Red Sea; Sanganeb Atoll,yes,yes
Chaetodon litus,Chaetodon_litus_Bishop_2072919420.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/2072919420.jpg,Easter Island,yes,yes
Chaetodon litus,Chaetodon_litus_Bishop_1983788749.jpg,BishopMuseum,https://pbs.bishopmuseum.org/images/JER/large/1983788749.jpg,Easter Island,yes,yes
