species,fishwise_file,fishwise_id,best_bishop,best_ncc
Chaetodon meyeri,Chaetodon_meyeri_FishWise_044132F000024W000001.jpg,044132F000024W000001,Chaetodon_meyeri_Bishop_-146742631.jpg,0.845
Chaetodon miliaris,Chaetodon_miliaris_FishWise_044973F000024W000002.jpg,044973F000024W000002,Chaetodon_miliaris_Bishop_1720766063.jpg,0.841
Chaetodon mitratus,Chaetodon_mitratus_FishWise_045446F000024W000001.jpg,045446F000024W000001,Chaetodon_mitratus_Bishop_-777256060.jpg,0.299
Chaetodon multicinctus,Chaetodon_multicinctus_FishWise_046454F000024W000003.jpg,046454F000024W000003,Chaetodon_multicinctus_Bishop_-1285212619.jpg,0.779
Chaetodon nigropunctatus,Chaetodon_nigropunctatus_FishWise_048831F000024W000001.jpg,048831F000024W000001,Chaetodon_nigropunctatus_Bishop_276052843.jpg,0.142
Chaetodon nippon,Chaetodon_nippon_FishWise_048989F000024W000001.jpg,048989F000024W000001,Chaetodon_nippon_Bishop_-751379567.jpg,0.448
Chaetodon ocellicaudus,Chaetodon_ocellicaudus_FishWise_050523F000024W000001.jpg,050523F000024W000001,Chaetodon_ocellicaudus_Bishop_958979710.jpg,0.775
Chaetodon octofasciatus,Chaetodon_octofasciatus_FishWise_050607F000024W000002.jpg,050607F000024W000002,Chaetodon_octofasciatus_Bishop_1838436391.jpg,0.583
Chaetodon ornatissimus,Chaetodon_ornatissimus_FishWise_051623F000024W000001.jpg,051623F000024W000001,Chaetodon_ornatissimus_Bishop_164962524.jpg,0.587
Chaetodon paucifasciatus,Chaetodon_paucifasciatus_FishWise_053582F000024W000001.jpg,053582F000024W000001,Chaetodon_paucifasciatus_Bishop_-1576082838.jpg,0.726
Chaetodon pelewensis,Chaetodon_pelewensis_FishWise_054006F000024W000004.jpg,054006F000024W000004,Chaetodon_pelewensis_Bishop_-460781405.jpg,0.565
Chaetodon plebeius,Chaetodon_plebeius_FishWise_055849F000024W000001.jpg,055849F000024W000001,Chaetodon_plebeius_Bishop_-531604202.jpg,0.738
Chaetodon punctatofasciatus,Chaetodon_punctatofasciatus_FishWise_057807F000024W000001.jpg,057807F000024W000001,Chaetodon_punctatofasciatus_Bishop_1458053428.jpg,0.743
Chaetodon rafflesii,Chaetodon_rafflesii_FishWise_058805F000024W000001.jpg,058805F000024W000001,Chaetodon_rafflesii_Bishop_497192485.jpg,0.812
Chaetodon reticulatus,Chaetodon_reticulatus_FishWise_059555F000024W000001.jpg,059555F000024W000001,Chaetodon_reticulatus_Bishop_-2063111040.jpg,0.16
Chaetodon semeion,Chaetodon_semeion_FishWise_063473F000024W000001.jpg,063473F000024W000001,Chaetodon_semeion_Bishop_-1205919593.jpg,0.834
Chaetodon semilarvatus,Chaetodon_semilarvatus_FishWise_063576F000024W000002.jpg,063576F000024W000002,Chaetodon_semilarvatus_Bishop_-947886964.jpg,0.743
Chaetodon smithi,Chaetodon_smithi_FishWise_065128F000024W000001.jpg,065128F000024W000001,Chaetodon_smithi_Bishop_-1166721005.jpg,0.74
Chaetodon speculum,Chaetodon_speculum_FishWise_065598F000024W000004.jpg,065598F000024W000004,Chaetodon_speculum_Bishop_65885528.jpg,0.543
Chaetodon tinkeri,Chaetodon_tinkeri_FishWise_069790F000024W000006.jpg,069790F000024W000006,Chaetodon_tinkeri_Bishop_-1989865351.jpg,0.749
Chaetodon tricinctus,Chaetodon_tricinctus_FishWise_070375F000024W000001.jpg,070375F000024W000001,Chaetodon_tricinctus_Bishop_28770837.jpg,0.374
Chaetodon trifascialis,Chaetodon_trifascialis_FishWise_070463F000024W000002.jpg,070463F000024W000002,Chaetodon_trifascialis_Bishop_-500274613.jpg,0.733
Chaetodon trifascialis,Chaetodon_trifascialis_FishWise_070463F000024W000001.jpg,070463F000024W000001,Chaetodon_trifascialis_Bishop_-500274613.jpg,0.758
Chaetodon unimaculatus,Chaetodon_unimaculatus_FishWise_032065F000024W000003.jpg,032065F000024W000003,Chaetodon_unimaculatus_Bishop_-2035665860.jpg,0.775
Chaetodon wiebeli,Chaetodon_wiebeli_FishWise_074591F000024W000003.jpg,074591F000024W000003,Chaetodon_wiebeli_Bishop_532247427.jpg,0.718
Chelmon rostratus,Chelmon_rostratus_FishWise_060866F000024W000001.jpg,060866F000024W000001,Chelmon_rostratus_Bishop_-1630595999.jpg,0.611
Coradion altivelis,Coradion_altivelis_FishWise_002365F000024W000003.jpg,002365F000024W000003,Coradion_altivelis_Bishop_-1400875907.jpg,0.344
Coradion chrysozonus,Coradion_chrysozonus_FishWise_014871F000024W000001.jpg,014871F000024W000001,Coradion_chrysozonus_Bishop_28243640.jpg,0.571
