species,in_tree,n_fishpix,n_fishbase,n_bishop,n_fishbase_extra,n_fishbase_usercontrib,n_inaturalist,n_fishwise,n_total,sources
Amphichaetodon howensis,yes,0,1,4,3,0,10,6,24,FishBase + BishopMuseum + FishBase_extra + iNaturalist + FishWise
Amphichaetodon melbae,yes,0,1,1,0,0,4,1,7,FishBase + BishopMuseum + iNaturalist + FishWise
Chaetodon adiergastos,yes,1,0,1,5,7,10,15,39,FishPix + BishopMuseum + FishBase_extra + FishBase_user + iNaturalist + FishWise
Chaetodon andamanensis,no,1,0,1,3,3,10,0,18,FishPix + BishopMuseum + FishBase_extra + FishBase_user + iNaturalist
Chaetodon argentatus,yes,1,0,2,5,0,10,5,23,FishPix + BishopMuseum + FishBase_extra + iNaturalist + FishWise
Chaetodon assarius,yes,0,1,0,0,0,10,0,11,FishBase + iNaturalist
Chaetodon aureofasciatus,yes,0,1,1,2,2,10,1,17,FishBase + BishopMuseum + FishBase_extra + FishBase_user + iNaturalist + FishWise
Chaetodon auriga,no,1,0,6,16,19,10,42,94,FishPix + BishopMuseum + FishBase_extra + FishBase_user + iNaturalist + FishWise
Chaetodon auripes,yes,1,0,2,8,3,10,1,25,FishPix + BishopMuseum + FishBase_extra + FishBase_user + iNaturalist + FishWise
Chaetodon austriacus,yes,0,1,1,3,8,10,8,31,FishBase + BishopMuseum + FishBase_extra + FishBase_user + iNaturalist + FishWise
Chaetodon baronessa,yes,1,0,4,9,9,10,11,44,FishPix + BishopMuseum + FishBase_extra + FishBase_user + iNaturalist + FishWise
Chaetodon bennetti,yes,1,0,2,6,9,10,15,43,FishPix + BishopMuseum + FishBase_extra + FishBase_user + iNaturalist + FishWise
Chaetodon blackburnii,yes,0,1,3,5,2,10,9,30,FishBase + BishopMuseum + FishBase_extra + FishBase_user + iNaturalist + FishWise
Chaetodon burgessi,yes,1,0,0,5,2,9,0,17,FishPix + FishBase_extra + FishBase_user + iNaturalist
Chaetodon capistratus,yes,0,1,0,4,14,10,3,32,FishBase + FishBase_extra + FishBase_user + iNaturalist + FishWise
Chaetodon citrinellus,yes,1,0,5,7,9,10,7,39,FishPix + BishopMuseum + FishBase_extra + FishBase_user + iNaturalist + FishWise
Chaetodon collare,yes,1,0,2,9,15,10,2,39,FishPix + BishopMuseum + FishBase_extra + FishBase_user + iNaturalist + FishWise
Chaetodon daedalma,no,1,0,1,2,1,5,0,10,FishPix + BishopMuseum + FishBase_extra + FishBase_user + iNaturalist
Chaetodon declivis,yes,0,1,3,5,0,1,0,10,FishBase + BishopMuseum + FishBase_extra + iNaturalist
Chaetodon decussatus,yes,0,1,1,5,11,10,1,29,FishBase + BishopMuseum + FishBase_extra + FishBase_user + iNaturalist + FishWise
Chaetodon dialeucos,yes,0,1,1,2,0,3,0,7,FishBase + BishopMuseum + FishBase_extra + iNaturalist
Chaetodon dolosus,no,0,1,1,2,1,10,9,24,FishBase + BishopMuseum + FishBase_extra + FishBase_user + iNaturalist + FishWise
Chaetodon ephippium,yes,1,0,2,8,15,10,16,52,FishPix + BishopMuseum + FishBase_extra + FishBase_user + iNaturalist + FishWise
Chaetodon excelsa,no,0,0,1,0,0,0,0,1,BishopMuseum
Chaetodon falcula,yes,1,0,1,6,4,10,4,26,FishPix + BishopMuseum + FishBase_extra + FishBase_user + iNaturalist + FishWise
Chaetodon fasciatus,yes,1,0,2,5,7,10,7,32,FishPix + BishopMuseum + FishBase_extra + FishBase_user + iNaturalist + FishWise
Chaetodon flavirostris,no,1,0,1,3,1,10,2,18,FishPix + BishopMuseum + FishBase_extra + FishBase_user + iNaturalist + FishWise
Chaetodon flavocoronatus,no,0,1,2,1,0,4,1,9,FishBase + BishopMuseum + FishBase_extra + iNaturalist + FishWise
Chaetodon fremblii,yes,1,0,1,5,1,10,1,19,FishPix + BishopMuseum + FishBase_extra + FishBase_user + iNaturalist + FishWise
