filename,filepath,source,species_raw,species_canonical,is_randall,taxonomy_updated
Chaetodon_flavirostris_Bishop_1864146380.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Chaetodon_flavirostris_Bishop_1864146380.jpg,bishop,Chaetodon flavirostris,Chaetodon flavirostris,True,False
Chaetodon_melannotus_Bishop_-1381464288.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Chaetodon_melannotus_Bishop_-1381464288.jpg,bishop,Chaetodon melannotus,Chaetodon melannotus,True,False
Chaetodon_mesoleucos_Bishop_-899095560.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Chaetodon_mesoleucos_Bishop_-899095560.jpg,bishop,Chaetodon mesoleucos,Chaetodon mesoleucos,True,False
Heniochus_acuminatus_Bishop_1817843498.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Heniochus_acuminatus_Bishop_1817843498.jpg,bishop,Heniochus acuminatus,Heniochus acuminatus,True,False
Chelmon_rostratus_Bishop_-1060273696.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Chelmon_rostratus_Bishop_-1060273696.jpg,bishop,Chelmon rostratus,Chelmon rostratus,True,False
Chaetodon_semilarvatus_Bishop_-947886964.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Chaetodon_semilarvatus_Bishop_-947886964.jpg,bishop,Chaetodon semilarvatus,Chaetodon semilarvatus,True,False
Chelmon_marginalis_Bishop_24220165.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Chelmon_marginalis_Bishop_24220165.jpg,bishop,Chelmon marginalis,Chelmon marginalis,True,False
Chaetodon_flavocoronatus_Bishop_-1261632291.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Chaetodon_flavocoronatus_Bishop_-1261632291.jpg,bishop,Chaetodon flavocoronatus,Chaetodon flavocoronatus,True,False
Chaetodon_argentatus_Bishop_1074668308.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Chaetodon_argentatus_Bishop_1074668308.jpg,bishop,Chaetodon argentatus,Chaetodon argentatus,True,False
Chaetodon_blackburnii_Bishop_1288243346.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Chaetodon_blackburnii_Bishop_1288243346.jpg,bishop,Chaetodon blackburnii,Chaetodon blackburnii,True,False
Chaetodon_decussatus_Bishop_527122207.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Chaetodon_decussatus_Bishop_527122207.jpg,bishop,Chaetodon decussatus,Chaetodon decussatus,True,False
Chaetodon_lunula_Bishop_543936522.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Chaetodon_lunula_Bishop_543936522.jpg,bishop,Chaetodon lunula,Chaetodon lunula,True,False
Chaetodon_mitratus_Bishop_-777256060.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Chaetodon_mitratus_Bishop_-777256060.jpg,bishop,Chaetodon mitratus,Chaetodon mitratus,True,False
Chaetodon_semeion_Bishop_-1205919593.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Chaetodon_semeion_Bishop_-1205919593.jpg,bishop,Chaetodon semeion,Chaetodon semeion,True,False
Chaetodon_mertensii_Bishop_-727881428.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Chaetodon_mertensii_Bishop_-727881428.jpg,bishop,Chaetodon mertensii,Chaetodon mertensii,True,False
Amphichaetodon_howensis_Bishop_-369771762.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Amphichaetodon_howensis_Bishop_-369771762.jpg,bishop,Amphichaetodon howensis,Amphichaetodon howensis,True,False
Amphichaetodon_howensis_Bishop_-1464681654.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Amphichaetodon_howensis_Bishop_-1464681654.jpg,bishop,Amphichaetodon howensis,Amphichaetodon howensis,True,False
Chaetodon_miliaris_Bishop_725437158.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Chaetodon_miliaris_Bishop_725437158.jpg,bishop,Chaetodon miliaris,Chaetodon miliaris,True,False
Chaetodon_speculum_Bishop_65885528.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Chaetodon_speculum_Bishop_65885528.jpg,bishop,Chaetodon speculum,Chaetodon speculum,True,False
Forcipiger_flavissimus_Bishop_-1224605166.jpg,/Users/michaelalfaro/Dropbox/git/downloading-fish-images-2026/images_bishop/Forcipiger_flavissimus_Bishop_-1224605166.jpg,bishop,Forcipiger flavissimus,Forcipiger flavissimus,True,False
