species,fishwise_file,fishwise_id,duplicate_of_bishop,mean_pixel_diff
Amphichaetodon howensis,Amphichaetodon_howensis_FishWise_030360F000024W000003.jpg,030360F000024W000003,Amphichaetodon_howensis_Bishop_-1464681654.jpg,1.92
Amphichaetodon howensis,Amphichaetodon_howensis_FishWise_030360F000024W000004.jpg,030360F000024W000004,Amphichaetodon_howensis_Bishop_472868867.jpg,1.58
Amphichaetodon howensis,Amphichaetodon_howensis_FishWise_030360F000024W000005.jpg,030360F000024W000005,Amphichaetodon_howensis_Bishop_-369771762.jpg,1.6
Amphichaetodon melbae,Amphichaetodon_melbae_FishWise_043655F000024W000001.jpg,043655F000024W000001,Amphichaetodon_melbae_Bishop_-1115161976.jpg,19.16
Chaetodon adiergastos,Chaetodon_adiergastos_FishWise_000669F000024W000002.jpg,000669F000024W000002,Chaetodon_adiergastos_Bishop_1979529705.jpg,3.73
Chaetodon andamanensis,Chaetodon_andamanensis_FishWise_111328F000024W000001.jpg,111328F000024W000001,Chaetodon_andamanensis_Bishop_-322272266.jpg,1.91
Chaetodon andamanensis,Chaetodon_andamanensis_FishWise_111328F000024W000003.jpg,111328F000024W000003,Chaetodon_andamanensis_Bishop_-322272266.jpg,1.91
Chaetodon andamanensis,Chaetodon_andamanensis_FishWise_111328F000024W000002.jpg,111328F000024W000002,Chaetodon_andamanensis_Bishop_-322272266.jpg,NCC=0.892
Chaetodon argentatus,Chaetodon_argentatus_FishWise_004409F000024W000002.jpg,004409F000024W000002,Chaetodon_argentatus_Bishop_1101542975.jpg,NCC=0.857
Chaetodon argentatus,Chaetodon_argentatus_FishWise_004409F000024W000003.jpg,004409F000024W000003,Chaetodon_argentatus_Bishop_1074668308.jpg,NCC=0.973
Chaetodon aureofasciatus,Chaetodon_aureofasciatus_FishWise_006046F000024W000001.jpg,006046F000024W000001,Chaetodon_aureofasciatus_Bishop_1459626629.jpg,5.81
Chaetodon auriga,Chaetodon_auriga_FishWise_006157F000024W000033.jpg,006157F000024W000033,Chaetodon_auriga_Bishop_1988149751.jpg,2.22
Chaetodon auriga,Chaetodon_auriga_FishWise_006157F000024W000051.jpg,006157F000024W000051,Chaetodon_auriga_Bishop_-2122348146.jpg,5.23
Chaetodon auriga,Chaetodon_auriga_FishWise_006157F000024W000057.jpg,006157F000024W000057,Chaetodon_auriga_Bishop_415255648.jpg,2.18
Chaetodon auriga,Chaetodon_auriga_FishWise_006157F000024W000059.jpg,006157F000024W000059,Chaetodon_auriga_Bishop_843681634.jpg,1.67
Chaetodon auriga,Chaetodon_auriga_FishWise_006157F000024W000054.jpg,006157F000024W000054,Chaetodon_auriga_Bishop_1449897185.jpg,11.98
Chaetodon auriga,Chaetodon_auriga_FishWise_006157F000024W000049.jpg,006157F000024W000049,Chaetodon_auriga_Bishop_1547714619.jpg,12.52
Chaetodon auriga,Chaetodon_auriga_FishWise_006157F000024W000001.jpg,006157F000024W000001,Chaetodon_auriga_Bishop_-2122348146.jpg,NCC=0.875
Chaetodon auripes,Chaetodon_auripes_FishWise_006172F000024W000003.jpg,006172F000024W000003,Chaetodon_auripes_Bishop_-346327811.jpg,1.82
Chaetodon auripes,Chaetodon_auripes_FishWise_006172F000024W000002.jpg,006172F000024W000002,Chaetodon_auripes_Bishop_1839596140.jpg,2.19
Chaetodon austriacus,Chaetodon_austriacus_FishWise_006503F000024W000001.jpg,006503F000024W000001,Chaetodon_austriacus_Bishop_-1737564550.jpg,1.99
