bishop_file,species,fishwise_duplicates,n_fishwise_duplicates
Amphichaetodon_howensis_Bishop_-1464681654.jpg,Amphichaetodon howensis,030360F000024W000003,1
Amphichaetodon_howensis_Bishop_-369771762.jpg,Amphichaetodon howensis,030360F000024W000005,1
Amphichaetodon_howensis_Bishop_472868867.jpg,Amphichaetodon howensis,030360F000024W000004,1
Chaetodon_andamanensis_Bishop_-322272266.jpg,Chaetodon andamanensis,"111328F000024W000001, 111328F000024W000003",2
Chaetodon_argentatus_Bishop_1074668308.jpg,Chaetodon argentatus,004409F000024W000003,1
Chaetodon_argentatus_Bishop_1101542975.jpg,Chaetodon argentatus,004409F000024W000002,1
Chaetodon_aureofasciatus_Bishop_1459626629.jpg,Chaetodon aureofasciatus,006046F000024W000001,1
Chaetodon_auriga_Bishop_1449897185.jpg,Chaetodon auriga,006157F000024W000054,1
Chaetodon_auriga_Bishop_1547714619.jpg,Chaetodon auriga,006157F000024W000049,1
Chaetodon_auriga_Bishop_1988149751.jpg,Chaetodon auriga,006157F000024W000033,1
Chaetodon_auriga_Bishop_415255648.jpg,Chaetodon auriga,006157F000024W000057,1
Chaetodon_auriga_Bishop_843681634.jpg,Chaetodon auriga,006157F000024W000059,1
Chaetodon_auripes_Bishop_-346327811.jpg,Chaetodon auripes,006172F000024W000003,1
Chaetodon_auripes_Bishop_1839596140.jpg,Chaetodon auripes,006172F000024W000002,1
Chaetodon_austriacus_Bishop_-1737564550.jpg,Chaetodon austriacus,006503F000024W000001,1
Chaetodon_baronessa_Bishop_-2122794458.jpg,Chaetodon baronessa,007419F000024W000002,1
Chaetodon_baronessa_Bishop_1152880952.jpg,Chaetodon baronessa,007419F000024W000005,1
Chaetodon_baronessa_Bishop_601798515.jpg,Chaetodon baronessa,007419F000024W000006,1
Chaetodon_baronessa_Bishop_918345433.jpg,Chaetodon baronessa,007419F000024W000004,1
Chaetodon_bennetti_Bishop_-2064196433.jpg,Chaetodon bennetti,007960F000024W000005,1
Chaetodon_bennetti_Bishop_711591108.jpg,Chaetodon bennetti,007960F000024W000002,1
Chaetodon_blackburnii_Bishop_-410407509.jpg,Chaetodon blackburnii,009005F000024W000001,1
